"ngram_full","ngram_tail","ngram_head","freq"
"Action Alliance","Alliance","Action",4
"Action Network","Network","Action",7
"Activities Student","Student","Activities",10
"Activity and","and","Activity",5
"Actually I","I","Actually",97
"Actually it","it","Actually",46
"Actually with","with","Actually",2
"Ad and","and","Ad",2
"Adam Sandler","Sandler","Adam",16
"Adam White","White","Adam",2
"Adam and","and","Adam",57
"Adams and","and","Adams",43
"Adams from","from","Adams",3
"Adams in","in","Adams",12
"Adams named","named","Adams",3
"Adams on","on","Adams",3
"Adamson said","said","Adamson",2
"Add me","me","Add",19
"Add mushrooms","mushrooms","Add",4
"Add remaining","remaining","Add",15
"Add the","the","Add",349
"Add your","your","Add",15
"Added case","case","Added",2
"Addicted to","to","Addicted",20
"Additionally they","they","Additionally",2
"Adele I","I","Adele",8
"Adele Someone","Someone","Adele",2
"Adele is","is","Adele",17
"Adele s","s","Adele",15
"Admiral to","to","Admiral",5
"Admiral was","was","Admiral",4
"Adrian Gonzalez","Gonzalez","Adrian",8
"Adult Basic","Basic","Adult",2
"Advancement of","of","Advancement",8
"Advertising has","has","Advertising",3
"Advil I","I","Advil",3
"Advisory Committee","Committee","Advisory",30
"Affeldt and","and","Affeldt",3
"Affordable Care","Care","Affordable",54
"Afghanistan Iraq","Iraq","Afghanistan",2
"Afghanistan in","in","Afghanistan",20
"Afghanistan to","to","Afghanistan",12
"Africa I","I","Africa",17
"Africa and","and","Africa",82
"Africa from","from","Africa",4
"Africa were","were","Africa",4
"African Americans","Americans","African",67
"African farmers","farmers","African",3
"African leaders","leaders","African",6
"Afrin nasal","nasal","Afrin",2
"After Hours","Hours","After",5
"After I","I","After",90
"After a","a","After",579
"After all","all","After",435
"After beating","beating","After",3
"After being","being","After",70
"After both","both","After",2
"After days","days","After",16
"After dealing","dealing","After",2
"After high","high","After",8
"After intermission","intermission","After",4
"After losing","losing","After",15
"After playing","playing","After",14
"After returning","returning","After",7
"After scoring","scoring","After",10
"After that","that","After",206
"After the","the","After",626
"After various","various","After",2
"After watching","watching","After",37
"After weeks","weeks","After",10
"After writing","writing","After",7
"After you","you","After",39
"Again again","again","Again",2
"Again due","due","Again",2
"Again it","it","Again",20
"Again this","this","Again",27
"Again you","you","Again",9
"Age Again","Again","Age",2
"Age of","of","Age",41
"Agents seized","seized","Agents",2
"Ago Today","Today","Ago",2
"Agreement on","on","Agreement",2
"Agriculture the","the","Agriculture",2
"Ah It","It","Ah",6
"Ah the","the","Ah",58
"Ahh okay","okay","Ahh",2
"Ahh yes","yes","Ahh",4
"Ain t","t","Ain",154
"Air Base","Base","Air",5
"Air Force","Force","Air",214
"Air Station","Station","Air",10
"Air Transport","Transport","Air",8
"Airing of","of","Airing",2
"Airlines Center","Center","Airlines",6
"Airlines and","and","Airlines",18
"Akron and","and","Akron",14
"Akron resident","resident","Akron",2
"Al Gore","Gore","Al",25
"Al Qaeda","Qaeda","Al",50
"Al s","s","Al",20
"AlQaradhawi which","which","AlQaradhawi",3
"Alabama I","I","Alabama",8
"Alan and","and","Alan",10
"Alas it","it","Alas",8
"Alaska Airlines","Airlines","Alaska",11
"Alaska I","I","Alaska",6
"Alaska or","or","Alaska",6
"Alaskan halibut","halibut","Alaskan",2
"Albert Pujols","Pujols","Albert",69
"Albert Schweitzer","Schweitzer","Albert",3
"Albert has","has","Albert",2
"Album of","of","Album",15
"Aldridge finished","finished","Aldridge",3
"Aldridge in","in","Aldridge",2
"Alec Baldwin","Baldwin","Alec",20
"Alejandra Alvarez","Alvarez","Alejandra",2
"Alex Cavanaugh","Cavanaugh","Alex",3
"Alex Riley","Riley","Alex",4
"Alexander a","a","Alexander",2
"Alexandria and","and","Alexandria",7
"Alexis Moore","Moore","Alexis",2
"Alfred Adler","Adler","Alfred",2
"Alfred and","and","Alfred",4
"Alien and","and","Alien",3
"Aliotti said","said","Aliotti",3
"All Hallows","Hallows","All",6
"All I","I","All",478
"All Star","Star","All",28
"All done","done","All",12
"All dressed","dressed","All",4
"All eyes","eyes","All",7
"All four","four","All",34
"All girls","girls","All",6
"All had","had","All",4
"All i","i","All",35
"All of","of","All",684
"All part","part","All",5
"All proceeds","proceeds","All",25
"All right","right","All",69
"All such","such","All",3
"All that","that","All",157
"All the","the","All",634
"All those","those","All",58
"All tickets","tickets","All",3
"All very","very","All",5
"All we","we","All",90
"All will","will","All",4
"All you","you","All",166
"Allan Poe","Poe","Allan",19
"Allen Iverson","Iverson","Allen",12
"Allen Mark","Mark","Allen",2
"Allen is","is","Allen",11
"Allen of","of","Allen",5
"Allen s","s","Allen",42
"Allen said","said","Allen",34
"Alliance a","a","Alliance",4
"Almost The","The","Almost",2
"Almost didn","didn","Almost",3
"Almost done","done","Almost",31
"Almost home","home","Almost",2
"Almost hours","hours","Almost",2
"Alone A","A","Alone",3
"Along the","the","Along",95
"Along with","with","Along",173
"Alpha Theta","Theta","Alpha",4
"Alpha has","has","Alpha",2
"Already got","got","Already",8
"Already into","into","Already",2
"Already there","there","Already",6
"Alright there","there","Alright",3
"Also I","I","Also",218
"Also a","a","Also",69
"Also as","as","Also",7
"Also four","four","Also",2
"Also included","included","Also",15
"Also is","is","Also",9
"Also like","like","Also",5
"Also on","on","Also",67
"Also picked","picked","Also",2
"Also please","please","Also",15
"Also thank","thank","Also",7
"Also the","the","Also",149
"Also their","their","Also",2
"Also they","they","Also",21
"Also troubling","troubling","Also",2
"Also while","while","Also",8
"Although I","I","Although",196
"Although he","he","Although",74
"Although she","she","Although",30
"Although sunny","sunny","Although",2
"Although the","the","Although",247
"Although we","we","Although",39
"Although you","you","Although",16
"Altman s","s","Altman",12
"Altogether I","I","Altogether",3
"Always Be","Be","Always",5
"Always be","be","Always",20
"Always expect","expect","Always",2
"Always good","good","Always",28
"Always nice","nice","Always",5
"Always provide","provide","Always",2
"Always welcome","welcome","Always",3
"Alzheimer s","s","Alzheimer",88
"Am I","I","Am",397
"Amar e","e","Amar",23
"Amare Stoudemire","Stoudemire","Amare",20
"Amazes me","me","Amazes",3
"Amazing I","I","Amazing",16
"Amazing day","day","Amazing",5
"Amazing what","what","Amazing",7
"Amazing writing","writing","Amazing",2
"Amazon It","It","Amazon",2
"Amazon in","in","Amazon",3
"Amazon s","s","Amazon",38
"Amber ale","ale","Amber",2
"Amen All","All","Amen",2
"Amen and","and","Amen",8
"Amen by","by","Amen",2
"Amendment and","and","Amendment",10
"Ameren Corp","Corp","Ameren",3
"America After","After","America",2
"America And","And","America",12
"America Any","Any","America",3
"America But","But","America",8
"America Day","Day","America",5
"America Europe","Europe","America",5
"America I","I","America",60
"America Not","Not","America",2
"America Online","Online","America",2
"America Tower","Tower","America",2
"America and","and","America",196
"America have","have","America",7
"America he","he","America",8
"America in","in","America",60
"America is","is","America",142
"America on","on","America",18
"America s","s","America",389
"America said","said","America",22
"America was","was","America",33
"America wasn","wasn","America",3
"American Academy","Academy","American",19
"American Airlines","Airlines","American",63
"American Association","Association","American",29
"American Bandstand","Bandstand","American",18
"American Cancer","Cancer","American",26
"American College","College","American",12
"American Dad","Dad","American",10
"American Eagle","Eagle","American",13
"American Express","Express","American",35
"American Financial","Financial","American",2
"American History","History","American",22
"American I","I","American",12
"American Idol","Idol","American",161
"American International","International","American",21
"American Medical","Medical","American",15
"American Pie","Pie","American",17
"American Red","Red","American",39
"American Reunion","Reunion","American",13
"American Revolution","Revolution","American",15
"American Society","Society","American",23
"American Strong","Strong","American",2
"American Teenager","Teenager","American",2
"American authorities","authorities","American",4
"American children","children","American",8
"American city","city","American",8
"American consumers","consumers","American",7
"American dancer","dancer","American",2
"American dollars","dollars","American",2
"American filmmakers","filmmakers","American",3
"American forces","forces","American",6
"American foreign","foreign","American",2
"American households","households","American",8
"American journalism","journalism","American",3
"American male","male","American",6
"American man","man","American",6
"American officials","officials","American",21
"American politics","politics","American",17
"American said","said","American",5
"American side","side","American",3
"American troops","troops","American",23
"American way","way","American",11
"American woman","woman","American",15
"American writers","writers","American",2
"AmericanIslamic Relations","Relations","AmericanIslamic",3
"Americans The","The","Americans",14
"Americans are","are","Americans",98
"Americans can","can","Americans",15
"Americans don","don","Americans",11
"Americans had","had","Americans",9
"Americans have","have","Americans",69
"Americans opposed","opposed","Americans",2
"Americans seeking","seeking","Americans",2
"Americans their","their","Americans",4
"Americans who","who","Americans",62
"Americans will","will","Americans",29
"Amherst MA","MA","Amherst",2
"Amid the","the","Amid",13
"Amini Silatolu","Silatolu","Amini",8
"Among Us","Us","Among",5
"Among the","the","Among",300
"Among those","those","Among",44
"Amway Corp","Corp","Amway",3
"Amy Winehouse","Winehouse","Amy",44
"Amy to","to","Amy",2
"Amy who","who","Amy",6
"An American","American","An",21
"An F","F","An",2
"An almost","almost","An",3
"An earlier","earlier","An",20
"An easy","easy","An",7
"An energy","energy","An",2
"An estimated","estimated","An",28
"An examination","examination","An",2
"An excellent","excellent","An",13
"An inspiring","inspiring","An",2
"An officer","officer","An",13
"An open","open","An",11
"An overturned","overturned","An",3
"An unexpected","unexpected","An",6
"An unpopular","unpopular","An",2
"An upset","upset","An",3
"Ana winds","winds","Ana",2
"Anaheim Stadium","Stadium","Anaheim",2
"Ancient Rome","Rome","Ancient",3
"And A","A","And",8
"And Dylan","Dylan","And",2
"And Go","Go","And",4
"And Gone","Gone","And",2
"And He","He","And",16
"And I","I","And",2117
"And Ill","Ill","And",15
"And Im","Im","And",77
"And Lord","Lord","And",6
"And Mr","Mr","And",13
"And Seth","Seth","And",4
"And a","a","And",306
"And although","although","And",67
"And another","another","And",36
"And as","as","And",259
"And at","at","And",108
"And be","be","And",25
"And because","because","And",87
"And can","can","And",25
"And construction","construction","And",2
"And consumers","consumers","And",2
"And dare","dare","And",4
"And do","do","And",31
"And either","either","And",3
"And even","even","And",167
"And finally","finally","And",79
"And financially","financially","And",2
"And for","for","And",232
"And getting","getting","And",11
"And good","good","And",21
"And he","he","And",497
"And her","her","And",36
"And here","here","And",134
"And how","how","And",147
"And if","if","And",618
"And it","it","And",921
"And last","last","And",29
"And let","let","And",63
"And lo","lo","And",6
"And may","may","And",12
"And maybe","maybe","And",67
"And memories","memories","And",2
"And my","my","And",176
"And not","not","And",114
"And now","now","And",417
"And number","number","And",4
"And oh","oh","And",22
"And on","on","And",112
"And our","our","And",45
"And perhaps","perhaps","And",30
"And possibly","possibly","And",4
"And pretty","pretty","And",5
"And really","really","And",30
"And right","right","And",24
"And she","she","And",250
"And so","so","And",407
"And some","some","And",88
"And sometimes","sometimes","And",39
"And sorry","sorry","And",9
"And that","that","And",731
"And the","the","And",1341
"And then","then","And",789
"And there","there","And",306
"And these","these","And",45
"And they","they","And",394
"And this","this","And",305
"And those","those","And",73
"And though","though","And",47
"And thought","thought","And",3
"And thus","thus","And",27
"And to","to","And",210
"And today","today","And",34
"And true","true","And",5
"And ugly","ugly","And",2
"And we","we","And",468
"And welcome","welcome","And",9
"And were","were","And",14
"And what","what","And",282
"And when","when","And",384
"And while","while","And",257
"And why","why","And",106
"And with","with","And",150
"And yes","yes","And",212
"And yet","yet","And",232
"And you","you","And",466
"And your","your","And",42
"Anderson to","to","Anderson",5
"Anderson who","who","Anderson",11
"Andrew Carnegie","Carnegie","Andrew",9
"Andrew Cuomo","Cuomo","Andrew",22
"Andrew Young","Young","Andrew",16
"Andrew s","s","Andrew",15
"Andrew to","to","Andrew",2
"Android to","to","Android",3
"Andronicus would","would","Andronicus",2
"Andy McDonald","McDonald","Andy",22
"Andy Pettitte","Pettitte","Andy",24
"Angel I","I","Angel",6
"Angel Island","Island","Angel",4
"Angela did","did","Angela",2
"Angelas life","life","Angelas",2
"Angeles County","County","Angeles",63
"Angeles The","The","Angeles",28
"Angeles Times","Times","Angeles",91
"Angeles in","in","Angeles",19
"Angeles was","was","Angeles",8
"Angels Among","Among","Angels",2
"Angels and","and","Angels",28
"Angels will","will","Angels",2
"Anger Management","Management","Anger",6
"Angle said","said","Angle",2
"Angry Birds","Birds","Angry",49
"Animal Health","Health","Animal",2
"Animal Shelter","Shelter","Animal",10
"Ann Arbor","Arbor","Ann",71
"Ann of","of","Ann",2
"Ann s","s","Ann",22
"Anna is","is","Anna",10
"Annan s","s","Annan",5
"Annan that","that","Annan",2
"Anniversary as","as","Anniversary",4
"Another Brick","Brick","Another",2
"Another Round","Round","Another",2
"Another important","important","Another",11
"Another is","is","Another",17
"Another reason","reason","Another",46
"Another sunny","sunny","Another",2
"Another thing","thing","Another",61
"Another thought","thought","Another",3
"Another wonderful","wonderful","Another",6
"Another year","year","Another",11
"Antawn Jamison","Jamison","Antawn",15
"Anthony Lane","Lane","Anthony",2
"Anthony in","in","Anthony",7
"AntiDefamation League","League","AntiDefamation",6
"Antioch I","I","Antioch",2
"Antique Linen","Linen","Antique",12
"Antonio Allen","Allen","Antonio",6
"Antonio Guerrero","Guerrero","Antonio",2
"Antonio at","at","Antonio",3
"Antonio has","has","Antonio",3
"Any friends","friends","Any",2
"Any help","help","Any",6
"Any of","of","Any",54
"Any special","special","Any",5
"Any suggestions","suggestions","Any",93
"Any takers","takers","Any",29
"Any time","time","Any",65
"Any tips","tips","Any",23
"Any web","web","Any",2
"Any woman","woman","Any",6
"Anyone else","else","Anyone",173
"Anyone ever","ever","Anyone",13
"Anyone have","have","Anyone",119
"Anyone in","in","Anyone",26
"Anyone interested","interested","Anyone",22
"Anyone of","of","Anyone",2
"Anyone remember","remember","Anyone",11
"Anyone with","with","Anyone",96
"Anyone work","work","Anyone",2
"Anything good","good","Anything",4
"Anything in","in","Anything",6
"Anything that","that","Anything",31
"Anyway I","I","Anyway",136
"Anyway back","back","Anyway",18
"Anyway she","she","Anyway",2
"Anyways I","I","Anyways",22
"Anyways here","here","Anyways",8
"Anywho I","I","Anywho",3
"Apart from","from","Apart",68
"Apartheid in","in","Apartheid",2
"Apologies for","for","Apologies",20
"Appalachia s","s","Appalachia",3
"Appalachian State","State","Appalachian",8
"Apparently he","he","Apparently",16
"Apparently it","it","Apparently",39
"Apparently some","some","Apparently",7
"Apparently that","that","Apparently",7
"Apparently the","the","Apparently",80
"Apparently we","we","Apparently",14
"Appeal in","in","Appeal",5
"Appeals the","the","Appeals",3
"Apple I","I","Apple",7
"Apple and","and","Apple",36
"Apple announced","announced","Apple",3
"Apple cofounder","cofounder","Apple",2
"Apple has","has","Apple",36
"Apple iPad","iPad","Apple",7
"Apple products","products","Apple",14
"Apple released","released","Apple",4
"Apple s","s","Apple",157
"Apple the","the","Apple",5
"Appreciate it","it","Appreciate",38
"Appreciation Day","Day","Appreciation",20
"April Anyway","Anyway","April",2
"April Challenge","Challenge","April",5
"April Fools","Fools","April",45
"April Go","Go","April",3
"April Having","Having","April",2
"April I","I","April",77
"April In","In","April",14
"April No","No","April",5
"April Q","Q","April",2
"April Richmond","Richmond","April",2
"April TBA","TBA","April",2
"April The","The","April",160
"April Your","Your","April",2
"April after","after","April",35
"April and","and","April",219
"April at","at","April",196
"April ballot","ballot","April",4
"April for","for","April",43
"April hearing","hearing","April",3
"April leaving","leaving","April",2
"April meeting","meeting","April",7
"April nd","nd","April",28
"April rd","rd","April",20
"April she","she","April",6
"April th","th","April",276
"April the","the","April",84
"April we","we","April",12
"Arab countries","countries","Arab",12
"Arab men","men","Arab",3
"Arab world","world","Arab",20
"Arabia but","but","Arabia",3
"Aramis Ramirez","Ramirez","Aramis",9
"Arbitrator Jane","Jane","Arbitrator",2
"Arbor and","and","Arbor",5
"Arctic Ocean","Ocean","Arctic",5
"Are the","the","Are",96
"Are there","there","Are",87
"Are we","we","Are",155
"Are you","you","Are",1600
"Area of","of","Area",3
"Area the","the","Area",9
"Aren t","t","Aren",104
"Argentina is","is","Argentina",2
"Arguably it","it","Arguably",2
"Ari Maron","Maron","Ari",2
"Ariz It","It","Ariz",2
"Arizona Capitol","Capitol","Arizona",4
"Arizona Coalition","Coalition","Arizona",3
"Arizona Employers","Employers","Arizona",4
"Arizona Immigration","Immigration","Arizona",3
"Arizona They","They","Arizona",4
"Arizona and","and","Arizona",44
"Arizona for","for","Arizona",16
"Arizona s","s","Arizona",129
"Arizona voters","voters","Arizona",4
"Arkansas to","to","Arkansas",6
"Armour plans","plans","Armour",2
"Army Corps","Corps","Army",30
"Army he","he","Army",3
"Around and","and","Around",3
"Around the","the","Around",66
"Arrows of","of","Arrows",2
"Art Museum","Museum","Art",61
"Art Show","Show","Art",5
"Art Walk","Walk","Art",18
"Art When","When","Art",3
"Art for","for","Art",9
"Art has","has","Art",4
"Art of","of","Art",74
"Art to","to","Art",6
"Arte Moreno","Moreno","Arte",6
"Arthur s","s","Arthur",14
"Arts Crafts","Crafts","Arts",2
"Arts Eats","Eats","Arts",3
"Arts and","and","Arts",73
"Arts presents","presents","Arts",2
"As I","I","As",741
"As Jesus","Jesus","As",6
"As Joe","Joe","As",2
"As The","The","As",23
"As a","a","As",1303
"As all","all","As",7
"As always","always","As",114
"As an","an","As",181
"As demand","demand","As",4
"As director","director","As",3
"As each","each","As",11
"As far","far","As",168
"As food","food","As",2
"As for","for","As",458
"As governor","governor","As",2
"As he","he","As",138
"As her","her","As",17
"As hiring","hiring","As",3
"As if","if","As",125
"As in","in","As",112
"As is","is","As",52
"As it","it","As",182
"As its","its","As",13
"As long","long","As",203
"As many","many","As",41
"As much","much","As",155
"As of","of","As",187
"As one","one","As",57
"As opposed","opposed","As",15
"As part","part","As",123
"As per","per","As",16
"As some","some","As",25
"As soon","soon","As",191
"As the","the","As",786
"As there","there","As",7
"As they","they","As",100
"As to","to","As",48
"As usual","usual","As",58
"As we","we","As",351
"As well","well","As",56
"As with","with","As",111
"As you","you","As",360
"As youll","youll","As",3
"Ashes the","the","Ashes",2
"Asia from","from","Asia",2
"Asia including","including","Asia",2
"Asian males","males","Asian",2
"Ask a","a","Ask",13
"Ask about","about","Ask",15
"Ask and","and","Ask",11
"Ask for","for","Ask",42
"Ask in","in","Ask",2
"Ask the","the","Ask",31
"Ask your","your","Ask",40
"Asked for","for","Asked",4
"Asking Alexandria","Alexandria","Asking",8
"Asking the","the","Asking",4
"Ass In","In","Ass",2
"Assembly Democrats","Democrats","Assembly",8
"Assembly Speaker","Speaker","Assembly",42
"Assembly for","for","Assembly",4
"Asset Management","Management","Asset",12
"Assistant City","City","Assistant",8
"Assistant District","District","Assistant",5
"Assistant Prosecutor","Prosecutor","Assistant",39
"Assistant Superintendent","Superintendent","Assistant",6
"Assisted Living","Living","Assisted",3
"Assn of","of","Assn",12
"Associated Estates","Estates","Associated",3
"Associated Press","Press","Associated",349
"Associates a","a","Associates",11
"Association He","He","Association",11
"Association a","a","Association",20
"Association and","and","Association",65
"Association for","for","Association",39
"Association has","has","Association",16
"Association in","in","Association",23
"Association of","of","Association",244
"Association president","president","Association",9
"Association said","said","Association",24
"Association the","the","Association",23
"Association when","when","Association",3
"Association which","which","Association",32
"Assuming that","that","Assuming",11
"Astoria for","for","Astoria",2
"At My","My","At",7
"At Night","Night","At",5
"At Red","Red","At",2
"At Six","Six","At",2
"At a","a","At",242
"At all","all","At",33
"At am","am","At",54
"At an","an","At",28
"At any","any","At",38
"At first","first","At",230
"At its","its","At",41
"At least","least","At",849
"At one","one","At",187
"At pm","pm","At",66
"At red","red","At",2
"At that","that","At",170
"At the","the","At",1866
"At this","this","At",352
"At times","times","At",81
"At today","today","At",8
"Athens GA","GA","Athens",4
"Athletic Association","Association","Athletic",27
"Atkins when","when","Atkins",2
"Atlanta to","to","Atlanta",15
"AtlantaJournal Constitution","Constitution","AtlantaJournal",2
"Atlantic City","City","Atlantic",162
"Atlantic Ocean","Ocean","Atlantic",24
"Attend the","the","Attend",3
"Attorney Christian","Christian","Attorney",3
"Attorney John","John","Attorney",6
"Attractive You","You","Attractive",6
"Atwood said","said","Atwood",3
"Au Bon","Bon","Au",2
"Aubrey Huff","Huff","Aubrey",9
"Auburn Oregon","Oregon","Auburn",2
"Aud Sentiments","Sentiments","Aud",3
"Aug She","She","Aug",5
"Aug The","The","Aug",24
"Aug at","at","Aug",29
"August I","I","August",42
"August It","It","August",11
"August according","according","August",6
"August after","after","August",11
"August he","he","August",9
"Augusta Bottom","Bottom","Augusta",3
"Aunt Elizabeth","Elizabeth","Aunt",3
"Austin In","In","Austin",3
"Austin Kearns","Kearns","Austin",4
"Austin TX","TX","Austin",26
"Austin Texas","Texas","Austin",39
"Austin every","every","Austin",2
"Austin for","for","Austin",21
"Austin has","has","Austin",14
"Austin rocks","rocks","Austin",2
"Austin was","was","Austin",11
"Australia and","and","Australia",59
"Australia came","came","Australia",2
"Australia in","in","Australia",15
"Australia s","s","Australia",25
"Australian and","and","Australian",7
"Australian designer","designer","Australian",2
"Author page","page","Author",3
"Authority and","and","Authority",18
"Authority have","have","Authority",4
"Authority of","of","Authority",33
"Authority s","s","Authority",6
"Auto Dealers","Dealers","Auto",6
"Autobiography of","of","Autobiography",3
"Autodata Corp","Corp","Autodata",4
"Ave Cleveland","Cleveland","Ave",35
"Ave Jersey","Jersey","Ave",6
"Ave W","W","Ave",2
"Ave at","at","Ave",14
"Ave near","near","Ave",18
"Avengers is","is","Avengers",20
"Avenue That","That","Avenue",4
"Avenue and","and","Avenue",200
"Avenue pm","pm","Avenue",19
"Avenue which","which","Avenue",9
"Avis and","and","Avis",2
"Avon Lake","Lake","Avon",29
"Award We","We","Award",3
"Award Winning","Winning","Award",18
"Award during","during","Award",2
"Award was","was","Award",2
"Awards as","as","Awards",2
"Aware said","said","Aware",2
"Away in","in","Away",2
