"ngram_full","ngram_tail","ngram_head","freq"
"Add remaining ingredients","ingredients","Add remaining",6
"Add the green","green","Add the",2
"Add the onion","onion","Add the",11
"Add the pasta","pasta","Add the",5
"Add the rest","rest","Add the",3
"Add the sundried","sundried","Add the",2
"Added case studies","studies","Added case",2
"Adele s ex","ex","Adele s",2
"Admiral to St","St","Admiral to",3
"Admiral was once","once","Admiral was",2
"Adult Basic Education","Education","Adult Basic",2
"Advancement of Science","Science","Advancement of",3
"Affordable Care Act","Act","Affordable Care",53
"Afghanistan in January","January","Afghanistan in",2
"African leaders and","and","African leaders",2
"Afrin nasal spray","spray","Afrin nasal",2
"After a bit","bit","After a",6
"After a couple","couple","After a",21
"After a few","few","After a",68
"After a long","long","After a",28
"After a minute","minute","After a",8
"After a month","month","After a",7
"After a night","night","After a",4
"After a slow","slow","After a",2
"After a tough","tough","After a",2
"After a weekend","weekend","After a",2
"After all in","in","After all",4
"After all they","they","After all",16
"After days of","of","After days",7
"After dealing with","with","After dealing",2
"After high school","school","After high",8
"After playing in","in","After playing",2
"After scoring points","points","After scoring",2
"After that I","I","After that",28
"After that we","we","After that",22
"After that you","you","After that",3
"After the Races","Races","After the",2
"After the tour","tour","After the",5
"After weeks of","of","After weeks",6
"After you read","read","After you",2
"Ah It s","s","Ah It",5
"Air Force said","said","Air Force",5
"Air Transport Association","Association","Air Transport",8
"Akron and Columbus","Columbus","Akron and",2
"AlQaradhawi which aired","aired","AlQaradhawi which",3
"Album of the","the","Album of",13
"Aldridge finished with","with","Aldridge finished",3
"Aliotti said We","We","Aliotti said",2
"All I can","can","All I",83
"All I gotta","gotta","All I",3
"All I have","have","All I",21
"All I need","need","All I",19
"All I wanna","wanna","All I",9
"All eyes are","are","All eyes",3
"All girls are","are","All girls",2
"All i gotta","gotta","All i",2
"All of my","my","All of",33
"All of our","our","All of",27
"All of these","these","All of",61
"All of this","this","All of",81
"All of your","your","All of",10
"All part of","of","All part",5
"All proceeds will","will","All proceeds",6
"All the boys","boys","All the",4
"All the other","other","All the",11
"All we can","can","All we",17
"All we did","did","All we",4
"All you have","have","All you",49
"Allen Iverson and","and","Allen Iverson",2
"Almost didn t","t","Almost didn",3
"Almost done with","with","Almost done",17
"Along the way","way","Along the",73
"Along with a","a","Along with",14
"Along with being","being","Along with",2
"Already there is","is","Already there",2
"Also is it","it","Also is",2
"Also on the","the","Also on",28
"Also thank you","you","Also thank",6
"Although I can","can","Although I",5
"Although I do","do","Although I",9
"Although he did","did","Although he",3
"Although you may","may","Although you",3
"Always good to","to","Always good",24
"Am I alone","alone","Am I",4
"Am I right","right","Am I",14
"Am I the","the","Am I",89
"Amar e Stoudemire","Stoudemire","Amar e",15
"Amazon s bestselling","bestselling","Amazon s",2
"America Any of","of","America Any",2
"America Day What","What","America Day",2
"America I dont","dont","America I",2
"America and only","only","America and",2
"America and the","the","America and",25
"America s Most","Most","America s",4
"America s greatest","greatest","America s",5
"America s largest","largest","America s",4
"America s most","most","America s",26
"America said in","in","America said",3
"America wasn t","t","America wasn",3
"American Academy of","of","American Academy",19
"American Airlines Center","Center","American Airlines",5
"American Airlines and","and","American Airlines",7
"American Association for","for","American Association",5
"American College of","of","American College",8
"American History X","X","American History",3
"American Idol I","I","American Idol",3
"American Idol We","We","American Idol",4
"American International Group","Group","American International",7
"American Medical Association","Association","American Medical",9
"American Red Cross","Cross","American Red",34
"American Revolution At","At","American Revolution",2
"American Society of","of","American Society",15
"American Strong Ales","Ales","American Strong",2
"American foreign policy","policy","American foreign",2
"American households are","are","American households",2
"American said it","it","American said",3
"Americans don t","t","Americans don",11
"Americans had a","a","Americans had",2
"Americans have a","a","Americans have",8
"Americans have seen","seen","Americans have",4
"Americans who have","have","Americans who",7
"Amy who is","is","Amy who",3
"An earlier version","version","An earlier",13
"An estimated in","in","An estimated",3
"And I am","am","And I",76
"And I bet","bet","And I",8
"And I couldn","couldn","And I",8
"And I do","do","And I",22
"And I dont","dont","And I",30
"And I doubt","doubt","And I",3
"And I feel","feel","And I",21
"And I have","have","And I",85
"And I just","just","And I",43
"And I kept","kept","And I",3
"And I laugh","laugh","And I",2
"And I love","love","And I",54
"And I ran","ran","And I",3
"And I realized","realized","And I",5
"And I saw","saw","And I",14
"And I think","think","And I",102
"And I was","was","And I",81
"And I will","will","And I",46
"And Lord when","when","And Lord",3
"And a key","key","And a",2
"And a shout","shout","And a",2
"And although I","I","And although",6
"And at just","just","And at",2
"And at pm","pm","And at",2
"And be happy","happy","And be",2
"And be sure","sure","And be",7
"And because there","there","And because",3
"And can t","t","And can",6
"And dare I","I","And dare",4
"And do they","they","And do",2
"And finally we","we","And finally",6
"And good luck","luck","And good",11
"And he didn","didn","And he",6
"And he should","should","And he",2
"And here I","I","And here",19
"And here we","we","And here",8
"And how many","many","And how",5
"And how she","she","And how",2
"And if it","it","And if",36
"And if we","we","And if",17
"And if you","you","And if",211
"And it can","can","And it",11
"And it doesnt","doesnt","And it",12
"And it is","is","And it",84
"And it s","s","And it",265
"And it seems","seems","And it",20
"And it was","was","And it",111
"And last month","month","And last",2
"And let us","us","And let",2
"And lo and","and","And lo",3
"And may you","you","And may",2
"And maybe not","not","And maybe",2
"And not just","just","And not",30
"And now it","it","And now",20
"And now shes","shes","And now",3
"And now there","there","And now",6
"And now we","we","And now",20
"And on the","the","And on",23
"And on this","this","And on",6
"And perhaps it","it","And perhaps",2
"And possibly a","a","And possibly",2
"And she s","s","And she",30
"And so I","I","And so",48
"And so it","it","And so",50
"And sometimes the","the","And sometimes",4
"And that brings","brings","And that",7
"And that is","is","And that",94
"And that means","means","And that",10
"And that s","s","And that",260
"And that was","was","And that",53
"And the king","king","And the",2
"And the next","next","And the",13
"And the only","only","And the",11
"And the winners","winners","And the",3
"And then come","come","And then",2
"And then it","it","And then",41
"And then remember","remember","And then",2
"And then we","we","And then",44
"And there goes","goes","And there",2
"And there were","were","And there",17
"And there you","you","And there",11
"And they do","do","And they",6
"And they shall","shall","And they",2
"And they were","were","And they",24
"And this is","is","And this",118
"And this time","time","And this",13
"And those that","that","And those",4
"And though the","the","And though",8
"And thus another","another","And thus",2
"And to a","a","And to",2
"And today I","I","And today",8
"And true to","to","And true",3
"And we couldn","couldn","And we",2
"And we d","d","And we",6
"And welcome to","to","And welcome",5
"And what else","else","And what",3
"And when I","I","And when",74
"And when she","she","And when",13
"And when that","that","And when",8
"And when we","we","And when",21
"And why was","was","And why",3
"And yes I","I","And yes",61
"And you can","can","And you",53
"And you re","re","And you",43
"And you will","will","And you",16
"Andrew Cuomo of","of","Andrew Cuomo",4
"Andy McDonald who","who","Andy McDonald",2
"Angel Island in","in","Angel Island",2
"Angela did not","not","Angela did",2
"Angeles County Superior","Superior","Angeles County",4
"Angels Among Us","Us","Angels Among",2
"Ann Arbor and","and","Ann Arbor",4
"Anniversary as a","a","Anniversary as",4
"Another Brick in","in","Another Brick",2
"Another reason to","to","Another reason",10
"Another sunny day","day","Another sunny",2
"Another thing that","that","Another thing",20
"Another thought I","I","Another thought",2
"Antawn Jamison and","and","Antawn Jamison",3
"Antique Linen Distress","Distress","Antique Linen",3
"Any of my","my","Any of",18
"Any of those","those","Any of",3
"Any time you","you","Any time",16
"Any woman who","who","Any woman",3
"Anyone else still","still","Anyone else",3
"Anyone ever notice","notice","Anyone ever",2
"Anyone ever use","use","Anyone ever",3
"Anyone have a","a","Anyone have",29
"Anyone in the","the","Anyone in",8
"Anyone interested in","in","Anyone interested",14
"Anyone with information","information","Anyone with",63
"Anything good on","on","Anything good",2
"Anything that looks","looks","Anything that",2
"Anyway I dont","dont","Anyway I",2
"Anyway back to","to","Anyway back",16
"Apologies for the","the","Apologies for",13
"Apparently it is","is","Apparently it",6
"Apparently that is","is","Apparently that",2
"Apple and the","the","Apple and",3
"Apple has just","just","Apple has",2
"Apple s first","first","Apple s",2
"Apple the company","company","Apple the",2
"Appreciation Day at","at","Appreciation Day",2
"April Fools day","day","April Fools",3
"April I can","can","April I",2
"April In response","response","April In",2
"April and rushed","rushed","April and",2
"April and we","we","April and",2
"April at San","San","April at",2
"April for the","the","April for",13
"April hearing The","The","April hearing",2
"April th Just","Just","April th",3
"April th this","this","April th",2
"April we will","will","April we",3
"Arbor and he","he","Arbor and",2
"Are there any","any","Are there",37
"Are we just","just","Are we",4
"Are you a","a","Are you",101
"Are you attending","attending","Are you",8
"Are you aware","aware","Are you",4
"Are you doing","doing","Are you",18
"Are you drinking","drinking","Are you",3
"Are you good","good","Are you",2
"Are you joining","joining","Are you",3
"Are you kidding","kidding","Are you",50
"Are you ready","ready","Are you",99
"Are you registered","registered","Are you",3
"Are you serious","serious","Are you",27
"Are you sure","sure","Are you",25
"Area of what","what","Area of",2
"Aren t we","we","Aren t",13
"Aren t you","you","Aren t",34
"Arizona Capitol Police","Police","Arizona Capitol",2
"Arizona Employers for","for","Arizona Employers",4
"Arizona Immigration Solutions","Solutions","Arizona Immigration",2
"Arizona and the","the","Arizona and",5
"Arizona s employersanctions","employersanctions","Arizona s",2
"Armour plans to","to","Armour plans",2
"Around and The","The","Around and",2
"Around the state","state","Around the",2
"Arts Eats for","for","Arts Eats",3
"Arts and Sciences","Sciences","Arts and",16
"As I go","go","As I",4
"As I look","look","As I",14
"As I sit","sit","As I",17
"As a child","child","As a",33
"As a lifelong","lifelong","As a",4
"As a novelist","novelist","As a",3
"As a result","result","As a",253
"As a sample","sample","As a",2
"As a team","team","As a",6
"As an adult","adult","As an",9
"As an alternative","alternative","As an",6
"As demand for","for","As demand",3
"As far as","as","As far",166
"As for the","the","As for",166
"As if my","my","As if",2
"As it should","should","As it",3
"As long as","as","As long",202
"As many have","have","As many",2
"As much as","as","As much",142
"As of last","last","As of",9
"As of yesterday","yesterday","As of",4
"As one of","of","As one",27
"As opposed to","to","As opposed",14
"As part of","of","As part",123
"As per his","his","As per",2
"As some of","of","As some",22
"As soon as","as","As soon",190
"As the afternoon","afternoon","As the",3
"As the band","band","As the",3
"As the couple","couple","As the",2
"As the general","general","As the",2
"As the name","name","As the",5
"As the pair","pair","As the",3
"As the story","story","As the",9
"As usual the","the","As usual",14
"As we were","were","As we",19
"As with all","all","As with",17
"As you enter","enter","As you",2
"Ask about our","our","Ask about",8
"Ask for a","a","Ask for",4
"Ask your questions","questions","Ask your",2
"Assembly Speaker Sheila","Sheila","Assembly Speaker",27
"Assistant City Manager","Manager","Assistant City",6
"Assistant District Attorney","Attorney","Assistant District",5
"Assistant Prosecutor Michael","Michael","Assistant Prosecutor",2
"Associated Estates Realty","Realty","Associated Estates",2
"Associated Press on","on","Associated Press",10
"Associated Press reported","reported","Associated Press",16
"Associated Press the","the","Associated Press",4
"Associated Press writer","writer","Associated Press",21
"Association a group","group","Association a",4
"Association for the","the","Association for",7
"Association in Washington","Washington","Association in",4
"Association said he","he","Association said",5
"Association which is","is","Association which",5
"At a lunch","lunch","At a",2
"At all I","I","At all",3
"At am Petty","Petty","At am",2
"At am Wednesday","Wednesday","At am",2
"At any given","given","At any",5
"At any rate","rate","At any",25
"At first I","I","At first",74
"At least I","I","At least",116
"At least a","a","At least",14
"At least it","it","At least",57
"At least one","one","At least",31
"At least that","that","At least",42
"At least the","the","At least",41
"At least this","this","At least",15
"At least two","two","At least",18
"At least until","until","At least",5
"At least you","you","At least",28
"At one time","time","At one",17
"At that point","point","At that",61
"At the April","April","At the",3
"At the Denver","Denver","At the",2
"At the end","end","At the",248
"At the festival","festival","At the",2
"At the final","final","At the",4
"At the former","former","At the",2
"At the park","park","At the",6
"At the same","same","At the",238
"At the start","start","At the",18
"At the store","store","At the",4
"At the th","th","At the",5
"At the very","very","At the",27
"At this point","point","At this",207
"At times he","he","At times",7
"At today s","s","At today",6
"Atlantic City The","The","Atlantic City",6
"Atlantic City casinos","casinos","Atlantic City",6
"Attorney John Walsh","Walsh","Attorney John",2
"Attractive You can","can","Attractive You",6
"Au Bon Pain","Pain","Au Bon",2
"August It s","s","August It",3
"August according to","to","August according",6
"August after being","being","August after",2
"Augusta Bottom Road","Road","Augusta Bottom",3
"Australia and New","New","Australia and",10
"Australian and New","New","Australian and",2
"Authority of a","a","Authority of",2
"Ave Jersey City","City","Ave Jersey",6
"Ave at th","th","Ave at",4
"Avengers is a","a","Avengers is",2
"Avenue That s","s","Avenue That",3
"Avenue pm A","A","Avenue pm",8
"Award Winning novel","novel","Award Winning",15
"Awesome Congrats to","to","Awesome Congrats",2
"Awesome I m","m","Awesome I",11
"Awesome It s","s","Awesome It",3
"Awesome day today","today","Awesome day",2
"Awesome thank you","you","Awesome thank",4
"Ayers said the","the","Ayers said",2
"B SF BR","BR","B SF",3
"B sure to","to","B sure",2
"BABY If you","you","BABY If",2
"BCS is a","a","BCS is",2
"BEATDOWN Stream to","to","BEATDOWN Stream",2
"BEST FAN IN","IN","BEST FAN",6
"BEST way to","to","BEST way",3
"BIG announcement coming","coming","BIG announcement",2
"BIG congrats to","to","BIG congrats",2
"BIRTHDAY Can I","I","BIRTHDAY Can",4
"BIRTHDAY TODAY AUSTIN","AUSTIN","BIRTHDAY TODAY",9
"BMW Lexus and","and","BMW Lexus",2
"BROTHER I don","don","BROTHER I",2
"Babyy d She","She","Babyy d",3
"Bacharach and David","David","Bacharach and",3
"Bachelor s degree","degree","Bachelor s",6
"Bachelor s degrees","degrees","Bachelor s",2
"Back in August","August","Back in",3
"Back in January","January","Back in",6
"Back in Portland","Portland","Back in",2
"Back in a","a","Back in",2
"Back in the","the","Back in",95
"Back in when","when","Back in",7
"Back then he","he","Back then",2
"Back when we","we","Back when",2
"Bad news for","for","Bad news",5
"Bake for minutes","minutes","Bake for",53
"Bake for to","to","Bake for",9
"Bake in preheated","preheated","Bake in",7
"Baltimore County police","police","Baltimore County",4
"Baltimore Don t","t","Baltimore Don",2
"Baltimore Let s","s","Baltimore Let",2
"Band of Misfits","Misfits","Band of",11
"Banging on the","the","Banging on",2
"Bank of America","America","Bank of",146
"Baptist Church and","and","Baptist Church",6
"Bar where we","we","Bar where",2
"Barack Obama and","and","Barack Obama",52
"Barack Obama in","in","Barack Obama",24
"Barack Obama is","is","Barack Obama",32
"Barbera said But","But","Barbera said",2
"Barer the chairman","chairman","Barer the",2
"Batchelder a Republican","Republican","Batchelder a",4
"Bath s Tale","Tale","Bath s",2
"Bay Area of","of","Bay Area",2
"Bay Area the","the","Bay Area",6
"Bay Bridge on","on","Bay Bridge",2
"Bay The question","question","Bay The",2
"Baylor in the","the","Baylor in",2
"Be When You","You","Be When",4
"Be careful of","of","Be careful",8
"Be creative and","and","Be creative",6
"Be sure to","to","Be sure",314
"Beach cause I","I","Beach cause",3
"Beach is a","a","Beach is",3
"Beach on Saturday","Saturday","Beach on",2
"Beach on the","the","Beach on",2
"Beauty is in","in","Beauty is",7
"Because I am","am","Because I",16
"Because as we","we","Because as",2
"Because of that","that","Because of",20
"Because she has","has","Because she",2
"Because she is","is","Because she",6
"Because this week","week","Because this",3
"Because you love","love","Because you",2
"Beckman of Plymouth","Plymouth","Beckman of",2
"Become a follower","follower","Become a",3
"Been meaning to","to","Been meaning",2
"Beer School is","is","Beer School",2
"Beer at a","a","Beer at",3
"Before I tell","tell","Before I",5
"Before you open","open","Before you",2
"Being defeated is","is","Being defeated",4
"Being forced to","to","Being forced",4
"Belfast Northern Ireland","Ireland","Belfast Northern",2
"Believe in yourself","yourself","Believe in",10
"Berkshire Hathaway Inc","Inc","Berkshire Hathaway",7
"Bert and Ernie","Ernie","Bert and",3
"Bertrand Berry on","on","Bertrand Berry",2
"Best Buy has","has","Best Buy",5
"Best Danceclub Lotus","Lotus","Best Danceclub",2
"Best Day Ever","Ever","Best Day",4
"Best I can","can","Best I",2
"Best Original Song","Song","Best Original",2
"Best Places to","to","Best Places",6
"Best of all","all","Best of",23
"Best wishes for","for","Best wishes",16
"Best wishes to","to","Best wishes",17
"Better Homes and","and","Better Homes",9
"Better to have","have","Better to",2
"Betty Sutton of","of","Betty Sutton",2
"Betty White s","s","Betty White",8
"Bible itself is","is","Bible itself",2
"Bible study I","I","Bible study",2
"Bible tells us","us","Bible tells",10
"Big Blue fans","fans","Big Blue",2
"Big Data and","and","Big Data",2
"Big Ten Tournament","Tournament","Big Ten",2
"Big Ten tournament","tournament","Big Ten",11
"Big Wave Bay","Bay","Big Wave",2
"Big thanks to","to","Big thanks",51
"Big things coming","coming","Big things",5
"Birthday I m","m","Birthday I",4
"Birthday Kimberly PLEASE","PLEASE","Birthday Kimberly",4
"Birthday to my","my","Birthday to",34
"Birthday to the","the","Birthday to",23
"Black Open to","to","Black Open",3
"Black Sea in","in","Black Sea",2
"Black Veil Brides","Brides","Black Veil",4
"Black s Friday","Friday","Black s",3
"Blah blah blah","blah","Blah blah",17
"Blessed to see","see","Blessed to",3
"Blitzer chairman of","of","Blitzer chairman",2
"Blogger has been","been","Blogger has",2
"Bloomberg News that","that","Bloomberg News",2
"Blow Out TShirt","TShirt","Blow Out",2
"Blue Cross and","and","Blue Cross",2
"Blue Point Grille","Grille","Blue Point",2
"Blue Shield of","of","Blue Shield",6
"Blue is a","a","Blue is",3
"Bo Jackson s","s","Bo Jackson",2
"Board of Directors","Directors","Board of",33
"Board of Higher","Higher","Board of",10
"Bob Dylan once","once","Bob Dylan",2
"Bob Seger is","is","Bob Seger",3
"Borge would be","be","Borge would",2
"Born To Die","Die","Born To",3
"Boss is in","in","Boss is",2
"Boston and Washington","Washington","Boston and",2
"Boston in the","the","Boston in",4
"Boston is a","a","Boston is",4
"Bostonbased private equity","equity","Bostonbased private",2
"Both Kalman and","and","Both Kalman",2
"Both are very","very","Both are",4
"Both groups are","are","Both groups",3
"Both of these","these","Both of",20
"Both teams have","have","Both teams",11
"Bout to fall","fall","Bout to",2
"Bowl in Pasadena","Pasadena","Bowl in",2
"Boxer had a","a","Boxer had",2
"Boy Meets World","World","Boy Meets",8
"Boyz II Men","Men","Boyz II",9
"Brandon Roy would","would","Brandon Roy",2
"Brazil and India","India","Brazil and",5
"Break out the","the","Break out",14
"Breakfast with the","the","Breakfast with",7
"Brenda Leigh Johnson","Johnson","Brenda Leigh",3
"Brewer s office","office","Brewer s",5
"Brewer signed the","the","Brewer signed",3
"Brewers fan I","I","Brewers fan",3
"Brick in the","the","Brick in",2
"Bridge on the","the","Bridge on",8
"Bridgeton Little League","League","Bridgeton Little",2
"Bring home the","the","Bring home",3
"Britain and the","the","Britain and",6
"Britain s FTSE","FTSE","Britain s",9
"Brooklyn neighborhood and","and","Brooklyn neighborhood",2
"Brown said Monday","Monday","Brown said",2
"Brown said They","They","Brown said",3
"Brown who at","at","Brown who",2
"Bruce Springsteen and","and","Bruce Springsteen",9
"Brush High School","School","Brush High",2
"Brussels sprouts with","with","Brussels sprouts",2
"Bryant said We","We","Bryant said",3
"Bubba Gump Shrimp","Shrimp","Bubba Gump",2
"Buckeyes in the","the","Buckeyes in",2
"Bud Light Platinum","Platinum","Bud Light",5
"Bud light platinum","platinum","Bud light",2
"Buffalo Wild Wings","Wings","Buffalo Wild",9
"Buffett s Berkshire","Berkshire","Buffett s",6
"Build up your","your","Build up",2
"Building Conference Center","Center","Building Conference",4
"Building and the","the","Building and",6
"Building in downtown","downtown","Building in",6
"Bullis Charter School","School","Bullis Charter",2
"Bulls can t","t","Bulls can",4
"Bureau said the","the","Bureau said",2
"Burger King in","in","Burger King",3
"Burlington County The","The","Burlington County",2
"Bush and Sen","Sen","Bush and",2
"Bush tax cuts","cuts","Bush tax",19
"But I admit","admit","But I",2
"But I also","also","But I",43
"But I can","can","But I",88
"But I did","did","But I",49
"But I do","do","But I",87
"But I don","don","But I",79
"But I doubt","doubt","But I",5
"But I fear","fear","But I",2
"But I feel","feel","But I",20
"But I felt","felt","But I",9
"But I found","found","But I",8
"But I have","have","But I",127
"But I know","know","But I",60
"But I like","like","But I",21
"But I ll","ll","But I",57
"But I m","m","But I",309
"But I read","read","But I",3
"But I ve","ve","But I",59
"But I was","was","But I",80
"But I will","will","But I",55
"But I would","would","But I",38
"But Im also","also","But Im",3
"But a little","little","But a",7
"But a study","study","But a",2
"But according to","to","But according",27
"But are you","you","But are",5
"But as I","I","But as",35
"But as an","an","But as",5
"But as the","the","But as",52
"But at least","least","But at",61
"But at the","the","But at",79
"But beyond that","that","But beyond",8
"But don t","t","But don",81
"But even before","before","But even",7
"But even if","if","But even",34
"But even though","though","But even",13
"But first I","I","But first",13
"But for some","some","But for",17
"But for the","the","But for",66
"But given that","that","But given",4
"But he also","also","But he",42
"But he didn","didn","But he",13
"But he has","has","But he",35
"But he isn","isn","But he",3
"But he lost","lost","But he",3
"But he made","made","But he",5
"But he replied","replied","But he",2
"But he s","s","But he",70
"But he said","said","But he",77
"But here in","in","But here",6
"But heres my","my","But heres",2
"But heres the","the","But heres",6
"But i don","don","But i",2
"But if I","I","But if",45
"But if he","he","But if",17
"But if we","we","But if",40
"But if you","you","But if",210
"But in a","a","But in",53
"But in the","the","But in",151
"But in this","this","But in",22
"But it can","can","But it",17
"But it feels","feels","But it",9
"But it has","has","But it",28
"But it is","is","But it",158
"But it may","may","But it",8
"But it remains","remains","But it",4
"But it still","still","But it",10
"But it was","was","But it",187
"But it won","won","But it",8
"But let s","s","But let",40
"But looking up","up","But looking",2
"But maybe it","it","But maybe",6
"But most of","of","But most",42
"But mostly there","there","But mostly",2
"But my mother","mother","But my",2
"But now I","I","But now",49
"But now Josh","Josh","But now",2
"But now if","if","But now",3
"But now the","the","But now",15
"But on the","the","But on",40
"But she did","did","But she",9
"But she does","does","But she",6
"But she has","has","But she",19
"But some are","are","But some",6
"But that gives","gives","But that",2
"But that s","s","But that",156
"But that wasn","wasn","But that",9
"But that would","would","But that",11
"But the decision","decision","But the",3
"But the difference","difference","But the",7
"But the dollar","dollar","But the",2
"But the good","good","But the",9
"But the main","main","But the",11
"But the one","one","But the",7
"But the other","other","But the",8
"But the research","research","But the",2
"But the true","true","But the",5
"But the yearold","yearold","But the",7
"But then I","I","But then",69
"But then again","again","But then",50
"But then he","he","But then",16
"But there are","are","But there",109
"But there is","is","But there",119
"But there s","s","But there",111
"But there will","will","But there",12
"But they also","also","But they",17
"But they haven","haven","But they",2
"But they re","re","But they",39
"But they should","should","But they",5
"But this is","is","But this",116
"But this team","team","But this",4
"But this week","week","But this",8
"But those assumptions","assumptions","But those",2
"But to get","get","But to",6
"But to my","my","But to",6
"But today I","I","But today",17
"But u can","can","But u",3
"But until that","that","But until",3
"But we re","re","But we",55
"But what may","may","But what",4
"But when I","I","But when",60
"But when he","he","But when",29
"But when the","the","But when",54
"But you can","can","But you",60
"But you cant","cant","But you",11
"But you do","do","But you",9
"But you dont","dont","But you",6
"But you got","got","But you",3
"But you have","have","But you",41
"Buy your tickets","tickets","Buy your",8
"By day four","four","By day",2
"By far the","the","By far",17
"By making it","it","By making",2
"By that he","he","By that",3
"By the power","power","By the",2
"By the same","same","By the",7
"By the time","time","By the",235
"By the way","way","By the",201
"By which I","I","By which",4
"C above pp","pp","C above",63
"C est la","la","C est",3
"CA taught by","by","CA taught",2
"CAC rose percent","percent","CAC rose",3
"CAN T HANDLE","HANDLE","CAN T",4
"CD that I","I","CD that",4
"CEO of Southwest","Southwest","CEO of",2
"CEO of WalMart","WalMart","CEO of",3
"CEO of the","the","CEO of",58
"CHDs can be","be","CHDs can",2
"CHILE Follow Me","Me","CHILE Follow",6
"CIA and the","the","CIA and",7
"CJ Watson to","to","CJ Watson",2
"CLEVELAND Ohio The","The","CLEVELAND Ohio",32
"CLOUDS F A","A","CLOUDS F",2
"CONGRATS ON YOUR","YOUR","CONGRATS ON",2
"Cab for Cutie","Cutie","Cab for",5
"Cal State Fullerton","Fullerton","Cal State",12
"California Although the","the","California Although",2
"California Department of","of","California Department",20
"California Distinguished School","School","California Distinguished",5
"California Ohio State","State","California Ohio",2
"California Weather F","F","California Weather",2
"California When I","I","California When",2
"California and Texas","Texas","California and",2
"California s budget","budget","California s",5
"Call Me Maybe","Maybe","Call Me",31
"Call in the","the","Call in",2
"Call it what","what","Call it",4
"Call me maybe","maybe","Call me",8
"Call me today","today","Call me",2
"Call me when","when","Call me",11
"Call or visit","visit","Call or",29
"Cam and I","I","Cam and",4
"Cameron Diaz and","and","Cameron Diaz",3
"Camino Real and","and","Camino Real",6
