"ngram_full","ngram_tail","ngram_head","freq"
"Around and The Tears of","of","Around and The Tears",2
"Arts Eats for Justice Gala","Gala","Arts Eats for Justice",3
"As a child I loved","loved","As a child I",2
"As a result of the","the","As a result of",16
"As a result of their","their","As a result of",5
"As some of you know","know","As some of you",7
"As soon as I got","got","As soon as I",9
"As the story goes a","a","As the story goes",2
"Assembly Speaker Sheila Oliver DEssex","DEssex","Assembly Speaker Sheila Oliver",16
"Association for the Advancement of","of","Association for the Advancement",6
"At first I wanted to","to","At first I wanted",2
"At the end of the","the","At the end of",161
"At the start of the","the","At the start of",9
"Attractive You can improve your","your","Attractive You can improve",6
"Ave at th Street Oakland","Oakland","Ave at th Street",2
"Avenue pm A person was","was","Avenue pm A person",2
"Award Winning novel GRAY RAINBOW","RAINBOW","Award Winning novel GRAY",15
"BCS is a partnership among","among","BCS is a partnership",2
"BEATDOWN Stream to be placed","placed","BEATDOWN Stream to be",2
"BEST FAN IN CHILE Follow","Follow","BEST FAN IN CHILE",6
"BIRTHDAY Can I get a","a","BIRTHDAY Can I get",4
"Babyy d She Teamfolloowback x","x","Babyy d She Teamfolloowback",3
"Bake for minutes or until","until","Bake for minutes or",22
"Barack Obama and Hillary Clinton","Clinton","Barack Obama and Hillary",2
"Barer the chairman of the","the","Barer the chairman of",2
"Batchelder a Republican from Medina","Medina","Batchelder a Republican from",4
"Bay Area of what appeared","appeared","Bay Area of what",2
"Be When You Grow Up","Up","Be When You Grow",4
"Be sure to follow along","along","Be sure to follow",3
"Beach cause I m going","going","Beach cause I m",3
"Beauty is in the eye","eye","Beauty is in the",7
"Because as we all know","know","Because as we all",2
"Beckman of Plymouth is one","one","Beckman of Plymouth is",2
"Betty Sutton of Copley Township","Township","Betty Sutton of Copley",2
"Black Open to stores designers","designers","Black Open to stores",3
"Blitzer chairman of the index","index","Blitzer chairman of the",2
"Blow Out TShirt Sale wwwbleachercreaturesusacom","wwwbleachercreaturesusacom","Blow Out TShirt Sale",2
"Blue Cross and Blue Shield","Shield","Blue Cross and Blue",2
"Bob Dylan once referred to","to","Bob Dylan once referred",2
"Both Kalman and Spence have","have","Both Kalman and Spence",2
"Bruce Springsteen and the E","E","Bruce Springsteen and the",6
"Buffett s Berkshire Hathaway Inc","Inc","Buffett s Berkshire Hathaway",3
"But I don t think","think","But I don t",16
"But at the end of","of","But at the end",21
"But he also said he","he","But he also said",3
"But if we are to","to","But if we are",2
"But if we want to","to","But if we want",2
"But in the end it","it","But in the end",3
"But in the interest of","of","But in the interest",2
"But in this case I","I","But in this case",4
"But that wasn t the","the","But that wasn t",3
"But the good news is","is","But the good news",6
"But the main focus is","is","But the main focus",2
"But there is only so","so","But there is only",2
"But this is not a","a","But this is not",4
"But to get to the","the","But to get to",2
"But you do need to","to","But you do need",2
"By the way there is","is","By the way there",2
"By which I mean I","I","By which I mean",2
"C above pp and in","in","C above pp and",4
"CA taught by Jennie Black","Black","CA taught by Jennie",2
"CEO of WalMart Stores Inc","Inc","CEO of WalMart Stores",2
"CEO of the Children s","s","CEO of the Children",2
"CHILE Follow Me Pleasee oh","oh","CHILE Follow Me Pleasee",6
"CLOUDS F A FEW CLOUDS","CLOUDS","CLOUDS F A FEW",2
"California Weather F A FEW","FEW","California Weather F A",2
"Call me when you get","get","Call me when you",4
"Campaign to Prevent Teen and","and","Campaign to Prevent Teen",2
"Can I get a Happy","Happy","Can I get a",4
"Can I just go back","back","Can I just go",2
"Can anyone tell me what","what","Can anyone tell me",6
"Can t believe it s","s","Can t believe it",17
"Can t help but think","think","Can t help but",4
"Can t wait for my","my","Can t wait for",10
"Can t wait for the","the","Can t wait for",78
"Can t wait for to","to","Can t wait for",3
"Can t wait till April","April","Can t wait till",2
"Can t wait to be","be","Can t wait to",17
"Can t wait to see","see","Can t wait to",292
"Can t wait to share","share","Can t wait to",21
"Can t wait to try","try","Can t wait to",14
"Can t we just have","have","Can t we just",2
"Can we talk about how","how","Can we talk about",2
"Can you please follow me","me","Can you please follow",14
"Cancer Institute of New Jersey","Jersey","Cancer Institute of New",4
"Cant wait to see you","you","Cant wait to see",9
"Carroll Shelby has died at","at","Carroll Shelby has died",2
"Castelveter a spokesman for the","the","Castelveter a spokesman for",3
"Celebrity Crush Favorite Type Of","Of","Celebrity Crush Favorite Type",4
"Center for the Study of","of","Center for the Study",9
"Centers for Disease Control and","and","Centers for Disease Control",40
"Chamber of Commerce s th","th","Chamber of Commerce s",2
"Check out some of the","the","Check out some of",7
"Chicago Chicago Illinois Incorporated in","in","Chicago Chicago Illinois Incorporated",21
"Chicago Illinois Incorporated in Item","Item","Chicago Illinois Incorporated in",41
"Children s Research Hospital in","in","Children s Research Hospital",2
"Christie spokesman Michael Drewniak said","said","Christie spokesman Michael Drewniak",7
"Circuit Court of Appeals the","the","Circuit Court of Appeals",2
"Cleveland Columbus Dayton and Cincinnati","Cincinnati","Cleveland Columbus Dayton and",2
"Cleveland s Old Brooklyn neighborhood","neighborhood","Cleveland s Old Brooklyn",2
"Clown among them Plus he","he","Clown among them Plus",2
"Colorado US Attorney John Walsh","Walsh","Colorado US Attorney John",2
"Come check us out and","and","Come check us out",2
"Come claim it at the","the","Come claim it at",3
"Come grab some lunch and","and","Come grab some lunch",2
"Come into the B and","and","Come into the B",2
"Come on out to the","the","Come on out to",2
"Come on you can do","do","Come on you can",2
"Come see us at the","the","Come see us at",4
"Cool on a wire rack","rack","Cool on a wire",4
"Corp fell percent to The","The","Corp fell percent to",2
"County Police Chief Tim Fitch","Fitch","County Police Chief Tim",8
"Cross and Blue Shield of","of","Cross and Blue Shield",2
"Crush Favorite Type Of Music","Music","Crush Favorite Type Of",4
"DAX index rose percent and","and","DAX index rose percent",3
"DC for a concert and","and","DC for a concert",15
"DM me for a free","free","DM me for a",3
"DM me your and I","I","DM me your and",2
"DM me your number so","so","DM me your number",2
"DM us for more info","info","DM us for more",2
"Daddy and I are so","so","Daddy and I are",2
"Dana Wolfe Naimark CEO of","of","Dana Wolfe Naimark CEO",2
"Dance What Do You Want","Want","Dance What Do You",4
"David Castelveter a spokesman for","for","David Castelveter a spokesman",3
"Davis said The trick is","is","Davis said The trick",2
"Day If you re downtown","downtown","Day If you re",2
"Debbie Nichols said Then you","you","Debbie Nichols said Then",2
"Dental Floss and most oral","oral","Dental Floss and most",3
"Diabetic exchanges per serving breadstarch","breadstarch","Diabetic exchanges per serving",2
"Did you know that in","in","Did you know that",5
"Did you know that we","we","Did you know that",7
"Diego California Weather F A","A","Diego California Weather F",2
"Dimora and codefendant Michael Gabor","Gabor","Dimora and codefendant Michael",4
"Division of Water Pollution Control","Control","Division of Water Pollution",2
"Do You Want To Be","Be","Do You Want To",4
"Do just once what others","others","Do just once what",3
"Do not prune old garden","garden","Do not prune old",3
"Do or do not There","There","Do or do not",2
"Do you have any information","information","Do you have any",3
"Do you live in the","the","Do you live in",2
"Do you or anyone you","you","Do you or anyone",2
"Does anyone know anything about","about","Does anyone know anything",2
"Does anyone know of any","any","Does anyone know of",3
"Don t be surprised to","to","Don t be surprised",3
"Don t feel bad I","I","Don t feel bad",2
"Don t forget there s","s","Don t forget there",3
"Don t forget to follow","follow","Don t forget to",15
"Don t forget to tweet","tweet","Don t forget to",3
"Don t forget we are","are","Don t forget we",6
"Don t get me started","started","Don t get me",5
"Don t go to the","the","Don t go to",3
"Don t know if I","I","Don t know if",10
"Don t let anyone else","else","Don t let anyone",2
"Don t try to be","be","Don t try to",4
"Don t want to be","be","Don t want to",5
"Don t want to go","go","Don t want to",7
"Don t you just love","love","Don t you just",15
"Dont get me wrong I","I","Dont get me wrong",19
"Dont judge me for my","my","Dont judge me for",2
"Dont you just love it","it","Dont you just love",2
"Dow Jones industrial average fell","fell","Dow Jones industrial average",11
"Dresden Pl square feet on","on","Dresden Pl square feet",2
"Drewniak said in an email","email","Drewniak said in an",2
"Drunk and she s all","all","Drunk and she s",2
"Duke CEO of WalMart Stores","Stores","Duke CEO of WalMart",2
"Dylan once referred to Smokey","Smokey","Dylan once referred to",2
"EBOOK Award Winning novel GRAY","GRAY","EBOOK Award Winning novel",15
"EVERY SINGLE ONE OF YOUR","YOUR","EVERY SINGLE ONE OF",9
"Each week will stay the","the","Each week will stay",2
"Eastern Conference semifinals against the","the","Eastern Conference semifinals against",2
"Editor s note An earlier","earlier","Editor s note An",3
"Education Commissioner Christopher Cerf said","said","Education Commissioner Christopher Cerf",2
"Either way it s great","great","Either way it s",2
"Employers for Immigration Reform and","and","Employers for Immigration Reform",3
"English as a second language","language","English as a second",8
"Even if he didn t","t","Even if he didn",2
"Even though I have a","a","Even though I have",4
"Even though it is a","a","Even though it is",3
"Every Lady Vol player who","who","Every Lady Vol player",2
"Every last one of you","you","Every last one of",2
"Every now and then the","the","Every now and then",2
"Everyone have a safe and","and","Everyone have a safe",2
"Everything is falling into place","place","Everything is falling into",2
"Excited about starting new video","video","Excited about starting new",2
"Excited to be at the","the","Excited to be at",4
"Express offers great prices on","on","Express offers great prices",5
"Express offers great savings on","on","Express offers great savings",6
"F A FEW CLOUDS F","F","F A FEW CLOUDS",2
"FAN IN CHILE Follow Me","Me","FAN IN CHILE Follow",6
"FEW CLOUDS F A FEW","FEW","FEW CLOUDS F A",2
"FOLLOW ME WOULD MEAN SO","SO","FOLLOW ME WOULD MEAN",6
"FOLLOW YOUR FIRST OFFICIAL ARMY","ARMY","FOLLOW YOUR FIRST OFFICIAL",3
"FREE EBOOK Award Winning novel","novel","FREE EBOOK Award Winning",15
"Faculty Workshop The School of","of","Faculty Workshop The School",2
"Falling in love with a","a","Falling in love with",3
"Fenway dating back to last","last","Fenway dating back to",2
"Fetish Digital Stamps and More","More","Fetish Digital Stamps and",2
"Fiat brand in North America","America","Fiat brand in North",2
"Figure out how much you","you","Figure out how much",3
"Floss Holders and most oral","oral","Floss Holders and most",3
"Floss and most oral care","care","Floss and most oral",3
"Folloow Ha She That Babyy","Babyy","Folloow Ha She That",3
"Follow Me Pleasee oh Please","Please","Follow Me Pleasee oh",6
"Following are excerpts from a","a","Following are excerpts from",2
"For me it s like","like","For me it s",2
"For more information please call","call","For more information please",4
"For my husband and me","me","For my husband and",2
"For the first time in","in","For the first time",61
"For the first years of","of","For the first years",3
"For the rest of us","us","For the rest of",5
"Former First Lady Betty Ford","Ford","Former First Lady Betty",2
"France s CAC rose percent","percent","France s CAC rose",3
"Friday in the block of","of","Friday in the block",2
"From the perspective of the","the","From the perspective of",4
"Full bar Reservations and credit","credit","Full bar Reservations and",16
"Fund and European Central Bank","Bank","Fund and European Central",2
"G Batchelder a Republican from","from","G Batchelder a Republican",3
"GRAY RAINBOW JOURNEY Limited Time","Time","GRAY RAINBOW JOURNEY Limited",3
"Game of the Eastern Conference","Conference","Game of the Eastern",14
"Germany s DAX index rose","rose","Germany s DAX index",4
"Gershwins Porgy and Bess and","and","Gershwins Porgy and Bess",3
"Get up and Go at","at","Get up and Go",2
"Girl in addition to his","his","Girl in addition to",2
"Give us a call today","today","Give us a call",3
"Glad I got to see","see","Glad I got to",5
"Glad you enjoyed it I","I","Glad you enjoyed it",2
"Glenn Research Center and the","the","Glenn Research Center and",2
"Go Folloow Ha She That","That","Go Folloow Ha She",3
"Going to the gym to","to","Going to the gym",2
"Gone are the days of","of","Gone are the days",6
"Good Morning and Happy Monday","Monday","Good Morning and Happy",3
"Good evening My name is","is","Good evening My name",2
"Good luck in the playoffs","playoffs","Good luck in the",3
"Good luck to all of","of","Good luck to all",7
"Gov Andrew Cuomo of New","New","Gov Andrew Cuomo of",3
"Grow Up Celebrity Crush Favorite","Favorite","Grow Up Celebrity Crush",4
"H McKinney School of Law","Law","H McKinney School of",2
"HAPPY MOTHERS DAY TO ALL","ALL","HAPPY MOTHERS DAY TO",8
"Ha She That Babyy d","d","Ha She That Babyy",3
"Had a great time in","in","Had a great time",3
"Had a great time talking","talking","Had a great time",6
"Hanging out with my two","two","Hanging out with my",2
"Happy Birthday to my friend","friend","Happy Birthday to my",2
"Happy Friday everyone Let s","s","Happy Friday everyone Let",2
"Happy birthday to my best","best","Happy birthday to my",7
"Happy mothers day to all","all","Happy mothers day to",26
"Have a good one I","I","Have a good one",3
"Have a great Memorial Day","Day","Have a great Memorial",2
"Have a great time at","at","Have a great time",3
"Have a great weekend I","I","Have a great weekend",17
"Have a super great day","day","Have a super great",2
"He pointed out that the","the","He pointed out that",4
"He should be on the","the","He should be on",2
"He struck out batters and","and","He struck out batters",2
"He told me he was","was","He told me he",4
"He told me to call","call","He told me to",3
"He wanted to make sure","sure","He wanted to make",2
"He was a member of","of","He was a member",9
"He was always a guy","guy","He was always a",2
"He was not a fan","fan","He was not a",2
"Heat in the first round","round","Heat in the first",3
"Here comes the rain again","again","Here comes the rain",3
"Here is a look at","at","Here is a look",9
"Here is the link to","to","Here is the link",5
"Here s to the Directioners","Directioners","Here s to the",2
"Here we are at the","the","Here we are at",2
"Hey thanks for the follow","follow","Hey thanks for the",10
"High School in San Jose","Jose","High School in San",3
"High School when he first","first","High School when he",2
"High achievement always takes place","place","High achievement always takes",2
"Holders and most oral care","care","Holders and most oral",3
"Honesty is the best policy","policy","Honesty is the best",4
"Honor has been the reward","reward","Honor has been the",3
"Hope everyone has a great","great","Hope everyone has a",20
"Hope everyone is having a","a","Hope everyone is having",31
"Hope everyone s having a","a","Hope everyone s having",4
"Hope to see you at","at","Hope to see you",23
"Hope you can join us","us","Hope you can join",7
"Hope you have a great","great","Hope you have a",46
"House Speaker Kurt Zellers RMaple","RMaple","House Speaker Kurt Zellers",5
"House Speaker William G Batchelder","Batchelder","House Speaker William G",11
"Housewives would have you believe","believe","Housewives would have you",2
"How I Met Your Mother","Mother","How I Met Your",20
"How am I supposed to","to","How am I supposed",18
"How and when did this","this","How and when did",3
"How is it that people","people","How is it that",3
"How much does it cost","cost","How much does it",9
"How the do I know","know","How the do I",2
"How would you feel if","if","How would you feel",2
"However by the time I","I","However by the time",3
"Hudson County Superior Court Judge","Judge","Hudson County Superior Court",4
"Humor is something that thrives","thrives","Humor is something that",2
"I AM YOUR BEST FAN","FAN","I AM YOUR BEST",6
"I LL SHOUT YOU OUT","OUT","I LL SHOUT YOU",2
"I Love You So Much","Much","I Love You So",3
"I SET FIRE TO THE","THE","I SET FIRE TO",2
"I also like the fact","fact","I also like the",2
"I also want to make","make","I also want to",2
"I always feel like the","the","I always feel like",2
"I am dying to try","try","I am dying to",2
"I am going to call","call","I am going to",2
"I am going to do","do","I am going to",21
"I am in a very","very","I am in a",2
"I am married to a","a","I am married to",2
"I am not a morning","morning","I am not a",4
"I am not going to","to","I am not going",60
"I am not sure if","if","I am not sure",22
"I am not the one","one","I am not the",3
"I am proud of myself","myself","I am proud of",2
"I am proud to say","say","I am proud to",10
"I am quite pleased that","that","I am quite pleased",2
"I am ready to puke","puke","I am ready to",2
"I am really excited about","about","I am really excited",6
"I am so blessed to","to","I am so blessed",5
"I am so excited to","to","I am so excited",33
"I am so proud of","of","I am so proud",27
"I am so so so","so","I am so so",3
"I am sorry if I","I","I am sorry if",2
"I am sorry to hear","hear","I am sorry to",2
"I am still working on","on","I am still working",9
"I am supposed to be","be","I am supposed to",11
"I am sure there are","are","I am sure there",10
"I am sure we will","will","I am sure we",3
"I am thankful for that","that","I am thankful for",3
"I am the one and","and","I am the one",4
"I am too lazy to","to","I am too lazy",4
"I am very happy with","with","I am very happy",4
"I am very interested in","in","I am very interested",4
"I am your biggest fan","fan","I am your biggest",3
"I are so proud of","of","I are so proud",2
"I believe it should be","be","I believe it should",2
"I believe that there is","is","I believe that there",4
"I believe that we are","are","I believe that we",3
"I believed that I was","was","I believed that I",3
"I can at least do","do","I can at least",2
"I can clearly see that","that","I can clearly see",2
"I can do to help","help","I can do to",12
"I can do to make","make","I can do to",4
"I can get you the","the","I can get you",2
"I can never fall asleep","asleep","I can never fall",3
"I can only imagine that","that","I can only imagine",5
"I can support my family","family","I can support my",2
"I can t I can","can","I can t I",3
"I can t believe that","that","I can t believe",33
"I can t believe your","your","I can t believe",2
"I can t bring myself","myself","I can t bring",5
"I can t fall asleep","asleep","I can t fall",6
"I can t find the","the","I can t find",15
"I can t keep myself","myself","I can t keep",2
"I can t leave my","my","I can t leave",3
"I can t see it","it","I can t see",6
"I can t share what","what","I can t share",2
"I can t stand the","the","I can t stand",15
"I can t tell you","you","I can t tell",33
"I can t think of","of","I can t think",52
"I can t wait We","We","I can t wait",4
"I can t wait for","for","I can t wait",128
"I can t wait till","till","I can t wait",36
"I can t wait to","to","I can t wait",405
"I can t wait until","until","I can t wait",39
"I cant even do it","it","I cant even do",2
"I cant get enough of","of","I cant get enough",3
"I cant go back to","to","I cant go back",3
"I cant wait to see","see","I cant wait to",25
"I caught a glimpse of","of","I caught a glimpse",3
"I changed my mind I","I","I changed my mind",3
"I consider that a victory","victory","I consider that a",2
"I could come up with","with","I could come up",13
"I could do something else","else","I could do something",2
"I could just enjoy this","this","I could just enjoy",2
"I could not agree more","more","I could not agree",5
"I could say that it","it","I could say that",4
"I could say the same","same","I could say the",7
"I couldn t be more","more","I couldn t be",13
"I couldn t find the","the","I couldn t find",7
"I couldn t stop myself","myself","I couldn t stop",2
"I d be more than","than","I d be more",8
"I d like to do","do","I d like to",11
"I d like to make","make","I d like to",11
"I d like to see","see","I d like to",65
"I d like to thank","thank","I d like to",15
"I d like to think","think","I d like to",17
"I d like to watch","watch","I d like to",3
"I d love to catch","catch","I d love to",2
"I d love to get","get","I d love to",11
"I d love to have","have","I d love to",10
"I d love to show","show","I d love to",3
"I d love to take","take","I d love to",2
"I d rather be on","on","I d rather be",2
"I d want my kid","kid","I d want my",2
"I d want to go","go","I d want to",4
"I decided that I d","d","I decided that I",2
"I decided to take my","my","I decided to take",3
"I did I d be","be","I did I d",3
"I did manage to find","find","I did manage to",2
"I did my best to","to","I did my best",9
"I did not want to","to","I did not want",15
"I didn t even go","go","I didn t even",3
"I didn t even know","know","I didn t even",47
"I didn t even think","think","I didn t even",13
"I didn t get a","a","I didn t get",32
"I didn t know I","I","I didn t know",20
"I didn t know either","either","I didn t know",2
"I didn t know what","what","I didn t know",32
"I didn t know you","you","I didn t know",44
"I didn t like it","it","I didn t like",14
"I didn t make the","the","I didn t make",8
"I didn t see that","that","I didn t see",7
"I didn t want to","to","I didn t want",167
"I didnt know how to","to","I didnt know how",9
"I didnt want it to","to","I didnt want it",4
"I didnt want to know","know","I didnt want to",2
"I disagree with the result","result","I disagree with the",2
"I do feel a bit","bit","I do feel a",2
"I do look forward to","to","I do look forward",3
"I do not mean that","that","I do not mean",2
"I do not see that","that","I do not see",3
"I don t believe that","that","I don t believe",16
"I don t care if","if","I don t care",44
"I don t care what","what","I don t care",64
"I don t care who","who","I don t care",16
"I don t even feel","feel","I don t even",3
"I don t even know","know","I don t even",111
"I don t even think","think","I don t even",19
"I don t feel the","the","I don t feel",7
"I don t get it","it","I don t get",43
"I don t get to","to","I don t get",17
"I don t give a","a","I don t give",43
"I don t have a","a","I don t have",133
"I don t have any","any","I don t have",71
"I don t have my","my","I don t have",5
"I don t have the","the","I don t have",58
"I don t have to","to","I don t have",159
"I don t know about","about","I don t know",68
"I don t know he","he","I don t know",2
"I don t know how","how","I don t know",177
"I don t know if","if","I don t know",242
"I don t know man","man","I don t know",5
"I don t know what","what","I don t know",261
"I don t like about","about","I don t like",7
"I don t like to","to","I don t like",32
"I don t mean in","in","I don t mean",2
"I don t need a","a","I don t need",15
"I don t need to","to","I don t need",38
"I don t really do","do","I don t really",4
"I don t remember anything","anything","I don t remember",6
"I don t see how","how","I don t see",22
"I don t see the","the","I don t see",16
"I don t think I","I","I don t think",213
"I don t think it","it","I don t think",125
"I don t think so","so","I don t think",72
"I don t think there","there","I don t think",56
"I don t understand the","the","I don t understand",8
"I don t understand why","why","I don t understand",38
"I don t usually like","like","I don t usually",2
"I don t want it","it","I don t want",21
"I don t want the","the","I don t want",10
"I don t want to","to","I don t want",428
"I don t worry about","about","I don t worry",8
"I dont claim to be","be","I dont claim to",2
"I dont even know if","if","I dont even know",5
"I dont even know why","why","I dont even know",5
"I dont know how these","these","I dont know how",2
"I dont know if I","I","I dont know if",15
"I dont know why the","the","I dont know why",3
"I dont really like the","the","I dont really like",4
"I dont think anyone is","is","I dont think anyone",2
"I dont think either of","of","I dont think either",2
"I dont think it was","was","I dont think it",4
"I enjoy being able to","to","I enjoy being able",2
"I feel a bit like","like","I feel a bit",6
"I feel for people who","who","I feel for people",2
"I feel like I have","have","I feel like I",35
"I feel like I m","m","I feel like I",120
"I feel like an old","old","I feel like an",4
"I feel like and I","I","I feel like and",3
"I feel like it is","is","I feel like it",12
"I feel like it s","s","I feel like it",20
"I feel like its the","the","I feel like its",2
"I feel like such a","a","I feel like such",11
"I feel like we re","re","I feel like we",4
"I feel so proud to","to","I feel so proud",2
"I feel that I have","have","I feel that I",2
"I fell in love with","with","I fell in love",46
"I felt like we were","were","I felt like we",4
"I figured why not take","take","I figured why not",2
"I finally got around to","to","I finally got around",9
"I find out more about","about","I find out more",3
"I first fell in love","love","I first fell in",2
"I followed up with a","a","I followed up with",3
"I found a pair of","of","I found a pair",4
"I found it to be","be","I found it to",7
"I found myself wanting to","to","I found myself wanting",2
"I found out today that","that","I found out today",2
"I get a Happy Birthday","Birthday","I get a Happy",4
"I get to keep my","my","I get to keep",2
"I get to meet you","you","I get to meet",4
"I go out of my","my","I go out of",2
"I got a new number","number","I got a new",4
"I got a pair of","of","I got a pair",2
"I got my picture taken","taken","I got my picture",2
"I got to see the","the","I got to see",4
"I grew up on a","a","I grew up on",2
"I grew up with some","some","I grew up with",2
"I guess I do have","have","I guess I do",3
"I guess I ll have","have","I guess I ll",9
"I guess I ve been","been","I guess I ve",3
"I guess it s the","the","I guess it s",2
"I guess that I should","should","I guess that I",2
"I guess we all have","have","I guess we all",3
"I guess we need to","to","I guess we need",2
"I guess you re right","right","I guess you re",2
"I had a bit of","of","I had a bit",7
"I had a chance to","to","I had a chance",19
"I had a dream about","about","I had a dream",14
"I had a friend tell","tell","I had a friend",2
"I had a great day","day","I had a great",3
"I had a lot of","of","I had a lot",42
"I had a really good","good","I had a really",14
"I had a very nice","nice","I had a very",3
"I had never seen anything","anything","I had never seen",2
"I had no idea who","who","I had no idea",2
"I had on hand and","and","I had on hand",4
"I had some sort of","of","I had some sort",2
"I had to come out","out","I had to come",4
"I had to have it","it","I had to have",5
"I had to make the","the","I had to make",2
"I had to stop and","and","I had to stop",9
"I hadn t thought about","about","I hadn t thought",6
"I happened to be reading","reading","I happened to be",2
"I hate when I can","can","I hate when I",3
"I hate when I see","see","I hate when I",2
"I have a bit of","of","I have a bit",7
"I have a confession to","to","I have a confession",5
"I have a deep respect","respect","I have a deep",3
"I have a few cards","cards","I have a few",2
"I have a lot going","going","I have a lot",2
"I have a lot of","of","I have a lot",84
"I have a question regarding","regarding","I have a question",2
"I have a solution for","for","I have a solution",3
"I have also been working","working","I have also been",3
"I have always thought that","that","I have always thought",3
"I have been concentrating on","on","I have been concentrating",2
"I have been on a","a","I have been on",8
"I have come to see","see","I have come to",2
"I have ever been in","in","I have ever been",6
"I have fond memories of","of","I have fond memories",5
"I have had in a","a","I have had in",2
"I have heard stories of","of","I have heard stories",3
"I have it on good","good","I have it on",4
"I have just a few","few","I have just a",2
"I have no doubt the","the","I have no doubt",3
"I have no idea of","of","I have no idea",6
"I have no idea what","what","I have no idea",81
"I have no problem with","with","I have no problem",21
"I have not had a","a","I have not had",7
"I have so much to","to","I have so much",15
"I have that in my","my","I have that in",2
"I have the best mom","mom","I have the best",2
"I have the chance to","to","I have the chance",4
"I have to admit that","that","I have to admit",30
"I have to confess that","that","I have to confess",5
"I have to learn how","how","I have to learn",2
"I have to leave the","the","I have to leave",5
"I have to say is","is","I have to say",11
"I have to say its","its","I have to say",2
"I have to say that","that","I have to say",56
"I have to wait a","a","I have to wait",2
"I haven t been on","on","I haven t been",39
"I haven t even started","started","I haven t even",6
"I haven t written a","a","I haven t written",3
"I heard a couple of","of","I heard a couple",2
"I highly recommend you go","go","I highly recommend you",2
"I hope I get to","to","I hope I get",11
"I hope all is well","well","I hope all is",24
"I hope it s Miami","Miami","I hope it s",3
"I hope to check out","out","I hope to check",2
"I hope to do more","more","I hope to do",2
"I hope you all have","have","I hope you all",18
"I hope you are all","all","I hope you are",11
"I hope you are doing","doing","I hope you are",5
"I hope you can make","make","I hope you can",4
"I hope you can see","see","I hope you can",4
"I hope you feel better","better","I hope you feel",11
"I hope you get a","a","I hope you get",5
"I hope you see this","this","I hope you see",3
"I hope you were able","able","I hope you were",2
"I hope you will join","join","I hope you will",3
"I just can t wait","wait","I just can t",15
"I just don t care","care","I just don t",10
"I just finished a km","km","I just finished a",5
