"ngram_full","ngram_tail","ngram_head","freq"
"AlQaradhawi which aired on","on","AlQaradhawi which aired",3
"Album of the Year","Year","Album of the",12
"Aldridge finished with points","points","Aldridge finished with",3
"Aliotti said We ve","ve","Aliotti said We",2
"All I can do","do","All I can",17
"All I can remember","remember","All I can",2
"All I can say","say","All I can",42
"All I gotta say","say","All I gotta",3
"All I have to","to","All I have",13
"All I need is","is","All I need",9
"All I wanna do","do","All I wanna",9
"All eyes are on","on","All eyes are",3
"All i gotta say","say","All i gotta",2
"All of my friends","friends","All of my",4
"All of this makes","makes","All of this",2
"All part of the","the","All part of",3
"All proceeds will be","be","All proceeds will",3
"All we can do","do","All we can",11
"All we did is","is","All we did",2
"All you have to","to","All you have",47
"Allen Iverson and Carmelo","Carmelo","Allen Iverson and",2
"Almost done with my","my","Almost done with",6
"Along the way there","there","Along the way",6
"Also thank you to","to","Also thank you",3
"Although I can t","t","Although I can",3
"Am I right or","or","Am I right",2
"Am I the only","only","Am I the",81
"Amar e Stoudemire cut","cut","Amar e Stoudemire",2
"America s greatest living","living","America s greatest",2
"American Academy of Arts","Arts","American Academy of",3
"American Association for the","the","American Association for",2
"American College of Cardiology","Cardiology","American College of",4
"American International Group Inc","Inc","American International Group",5
"American Red Cross in","in","American Red Cross",3
"Americans don t want","want","Americans don t",2
"An earlier version of","of","An earlier version",13
"And I am not","not","And I am",14
"And I couldn t","t","And I couldn",8
"And I do It","It","And I do",2
"And I dont even","even","And I dont",4
"And I feel like","like","And I feel",4
"And I have to","to","And I have",20
"And I kept thinking","thinking","And I kept",2
"And I love it","it","And I love",9
"And I saw it","it","And I saw",2
"And I think there","there","And I think",2
"And a shout out","out","And a shout",2
"And be sure to","to","And be sure",6
"And because there s","s","And because there",2
"And can t wait","wait","And can t",4
"And dare I say","say","And dare I",4
"And he didn t","t","And he didn",6
"And he should know","know","And he should",2
"And here we go","go","And here we",4
"And if it is","is","And if it",5
"And if we do","do","And if we",2
"And if you ever","ever","And if you",4
"And if you have","have","And if you",12
"And if you know","know","And if you",4
"And it is the","the","And it is",4
"And it s not","not","And it s",40
"And it seems like","like","And it seems",8
"And it was for","for","And it was",3
"And let us not","not","And let us",2
"And lo and behold","behold","And lo and",3
"And now it s","s","And now it",14
"And now we have","have","And now we",4
"And now we will","will","And now we",2
"And on this day","day","And on this",2
"And so it was","was","And so it",11
"And that brings us","us","And that brings",3
"And that is why","why","And that is",8
"And that s all","all","And that s",11
"And that s what","what","And that s",31
"And that was on","on","And that was",2
"And the only way","way","And the only",6
"And the winners are","are","And the winners",2
"And then it clicked","clicked","And then it",2
"And then we hear","hear","And then we",2
"And then we just","just","And then we",3
"And there were those","those","And there were",2
"And there you have","have","And there you",10
"And this is a","a","And this is",11
"And this is not","not","And this is",6
"And true to form","form","And true to",2
"And we couldn t","t","And we couldn",2
"And when we were","were","And when we",3
"And yes I did","did","And yes I",5
"Andrew Cuomo of New","New","Andrew Cuomo of",4
"Angeles County Superior Court","Court","Angeles County Superior",4
"Ann Arbor and he","he","Ann Arbor and",2
"Anniversary as a JanPro","JanPro","Anniversary as a",3
"Another Brick in the","the","Another Brick in",2
"Another reason to attend","attend","Another reason to",3
"Another thing that I","I","Another thing that",5
"Any time you can","can","Any time you",2
"Anyone with information is","is","Anyone with information",22
"Anyway back to my","my","Anyway back to",4
"April and rushed to","to","April and rushed",2
"April at San Jose","Jose","April at San",2
"April we will be","be","April we will",3
"Are you aware that","that","Are you aware",2
"Are you doing a","a","Are you doing",3
"Are you good at","at","Are you good",2
"Are you joining us","us","Are you joining",3
"Are you kidding me","me","Are you kidding",38
"Are you ready for","for","Are you ready",49
"Are you serious I","I","Are you serious",3
"Area of what appeared","appeared","Area of what",2
"Arizona Employers for Immigration","Immigration","Arizona Employers for",4
"Arizona s employersanctions law","law","Arizona s employersanctions",2
"Around and The Tears","Tears","Around and The",2
"Arts Eats for Justice","Justice","Arts Eats for",3
"As I look back","back","As I look",7
"As I sit here","here","As I sit",13
"As a child I","I","As a child",13
"As a result of","of","As a result",54
"As a result they","they","As a result",7
"As a team the","the","As a team",4
"As an alternative to","to","As an alternative",2
"As for the rest","rest","As for the",8
"As it should be","be","As it should",2
"As long as the","the","As long as",21
"As of last week","week","As of last",4
"As of yesterday I","I","As of yesterday",2
"As one of the","the","As one of",17
"As opposed to a","a","As opposed to",4
"As part of this","this","As part of",4
"As some of you","you","As some of",20
"As soon as I","I","As soon as",62
"As soon as we","we","As soon as",16
"As the story goes","goes","As the story",3
"As we were leaving","leaving","As we were",3
"As with all of","of","As with all",2
"Assembly Speaker Sheila Oliver","Oliver","Assembly Speaker Sheila",26
"Associated Estates Realty Corp","Corp","Associated Estates Realty",2
"Associated Press on Monday","Monday","Associated Press on",2
"Associated Press reported that","that","Associated Press reported",3
"Association for the Advancement","Advancement","Association for the",6
"At am Petty Officer","Officer","At am Petty",2
"At any given moment","moment","At any given",4
"At first I wanted","wanted","At first I",2
"At least I can","can","At least I",8
"At least a dozen","dozen","At least a",3
"At least it wasnt","wasnt","At least it",2
"At least one of","of","At least one",7
"At least that would","would","At least that",2
"At least you got","got","At least you",3
"At that point we","we","At that point",2
"At the end of","of","At the end",230
"At the same time","time","At the same",229
"At the start of","of","At the start",14
"At this point Im","Im","At this point",4
"At today s prices","prices","At today s",2
"Attractive You can improve","improve","Attractive You can",6
"Australia and New Zealand","Zealand","Australia and New",10
"Authority of a Believer","Believer","Authority of a",2
"Ave at th Street","Street","Ave at th",3
"Avenue That s the","the","Avenue That s",2
"Avenue pm A person","person","Avenue pm A",2
"Award Winning novel GRAY","GRAY","Award Winning novel",15
"Awesome I m so","so","Awesome I m",2
"BABY If you are","are","BABY If you",2
"BCS is a partnership","partnership","BCS is a",2
"BEATDOWN Stream to be","be","BEATDOWN Stream to",2
"BEST FAN IN CHILE","CHILE","BEST FAN IN",6
"BIRTHDAY Can I get","get","BIRTHDAY Can I",4
"BROTHER I don t","t","BROTHER I don",2
"Babyy d She Teamfolloowback","Teamfolloowback","Babyy d She",3
"Back in the US","US","Back in the",2
"Back then he was","was","Back then he",2
"Bake for minutes or","or","Bake for minutes",22
"Bake for to minutes","minutes","Bake for to",9
"Band of Misfits D","D","Band of Misfits",2
"Bank of America Tower","Tower","Bank of America",2
"Barack Obama and Hillary","Hillary","Barack Obama and",2
"Barack Obama in the","the","Barack Obama in",4
"Barer the chairman of","of","Barer the chairman",2
"Batchelder a Republican from","from","Batchelder a Republican",4
"Bay Area of what","what","Bay Area of",2
"Be When You Grow","Grow","Be When You",4
"Be creative and have","have","Be creative and",2
"Be sure to follow","follow","Be sure to",28
"Be sure to take","take","Be sure to",8
"Beach cause I m","m","Beach cause I",3
"Beauty is in the","the","Beauty is in",7
"Because I am a","a","Because I am",5
"Because as we all","all","Because as we",2
"Because this week s","s","Because this week",2
"Beckman of Plymouth is","is","Beckman of Plymouth",2
"Become a follower of","of","Become a follower",2
"Before I tell you","you","Before I tell",4
"Before you open your","your","Before you open",2
"Being defeated is often","often","Being defeated is",4
"Believe in yourself Remember","Remember","Believe in yourself",2
"Berkshire Hathaway Inc said","said","Berkshire Hathaway Inc",3
"Best I can do","do","Best I can",2
"Best wishes to you","you","Best wishes to",4
"Better Homes and Gardens","Gardens","Better Homes and",9
"Betty Sutton of Copley","Copley","Betty Sutton of",2
"Betty White s Off","Off","Betty White s",3
"Bible tells us that","that","Bible tells us",6
"Big thanks to our","our","Big thanks to",3
"Birthday to my friend","friend","Birthday to my",2
"Black Open to stores","stores","Black Open to",3
"Blitzer chairman of the","the","Blitzer chairman of",2
"Blow Out TShirt Sale","Sale","Blow Out TShirt",2
"Blue Cross and Blue","Blue","Blue Cross and",2
"Board of Directors of","of","Board of Directors",5
"Board of Higher Education","Education","Board of Higher",9
"Bob Dylan once referred","referred","Bob Dylan once",2
"Boston and Washington DC","DC","Boston and Washington",2
"Bostonbased private equity firm","firm","Bostonbased private equity",2
"Both Kalman and Spence","Spence","Both Kalman and",2
"Both of these sides","sides","Both of these",2
"Both teams have a","a","Both teams have",3
"Bout to fall asleep","asleep","Bout to fall",2
"Brewer s office said","said","Brewer s office",2
"Brick in the Wall","Wall","Brick in the",2
"Bruce Springsteen and the","the","Bruce Springsteen and",6
"Bubba Gump Shrimp Co","Co","Bubba Gump Shrimp",2
"Buffett s Berkshire Hathaway","Hathaway","Buffett s Berkshire",6
"Building in downtown Cleveland","Cleveland","Building in downtown",2
"But I also know","know","But I also",5
"But I can remember","remember","But I can",2
"But I do feel","feel","But I do",3
"But I do not","not","But I do",7
"But I don t","t","But I don",79
"But I doubt it","it","But I doubt",2
"But I fear the","the","But I fear",2
"But I feel like","like","But I feel",8
"But I feel pretty","pretty","But I feel",2
"But I found it","it","But I found",2
"But I have always","always","But I have",2
"But I know that","that","But I know",8
"But I like it","it","But I like",4
"But I ll be","be","But I ll",9
"But I m just","just","But I m",9
"But I m not","not","But I m",53
"But I ve had","had","But I ve",2
"But I was once","once","But I was",2
"But I would say","say","But I would",4
"But as the session","session","But as the",2
"But at the end","end","But at the",21
"But don t you","you","But don t",4
"But even though you","you","But even though",2
"But for some reason","reason","But for some",12
"But he also said","said","But he also",9
"But he didn t","t","But he didn",13
"But he isn t","t","But he isn",3
"But he made it","it","But he made",2
"But he s not","not","But he s",5
"But he said he","he","But he said",21
"But heres my number","number","But heres my",2
"But heres the thing","thing","But heres the",3
"But i don t","t","But i don",2
"But if I can","can","But if I",3
"But if I were","were","But if I",3
"But if we are","are","But if we",4
"But if we want","want","But if we",2
"But in a season","season","But in a",3
"But in the end","end","But in the",28
"But in the interest","interest","But in the",2
"But in the past","past","But in the",7
"But in this case","case","But in this",14
"But it can be","be","But it can",5
"But it is interesting","interesting","But it is",3
"But it won t","t","But it won",8
"But most of them","them","But most of",7
"But now I am","am","But now I",7
"But now I m","m","But now I",9
"But now if we","we","But now if",2
"But on the other","other","But on the",12
"But that s another","another","But that s",3
"But that s the","the","But that s",11
"But that wasn t","t","But that wasn",9
"But that would be","be","But that would",8
"But the difference is","is","But the difference",2
"But the good news","news","But the good",7
"But the main focus","focus","But the main",3
"But then again in","in","But then again",2
"But then he turned","turned","But then he",2
"But there is no","no","But there is",17
"But there is only","only","But there is",3
"But there s also","also","But there s",9
"But there s no","no","But there s",20
"But there will be","be","But there will",9
"But they haven t","t","But they haven",2
"But this is not","not","But this is",23
"But this is where","where","But this is",3
"But this week the","the","But this week",3
"But to get to","to","But to get",2
"But today I m","m","But today I",3
"But we re not","not","But we re",11
"But what may be","be","But what may",2
"But when I m","m","But when I",3
"But you can make","make","But you can",2
"But you do need","need","But you do",3
"But you dont need","need","But you dont",2
"But you have to","to","But you have",29
"By far the biggest","biggest","By far the",2
"By that he means","means","By that he",2
"By the way there","there","By the way",3
"By which I mean","mean","By which I",3
"C above pp and","and","C above pp",4
"C est la vie","vie","C est la",3
"CA taught by Jennie","Jennie","CA taught by",2
"CEO of Southwest Airlines","Airlines","CEO of Southwest",2
"CEO of WalMart Stores","Stores","CEO of WalMart",2
"CEO of the Children","Children","CEO of the",2
"CHDs can be detected","detected","CHDs can be",2
"CHILE Follow Me Pleasee","Pleasee","CHILE Follow Me",6
"CLEVELAND Ohio The only","only","CLEVELAND Ohio The",2
"CLOUDS F A FEW","FEW","CLOUDS F A",2
"California Weather F A","A","California Weather F",2
"Call Me Maybe is","is","Call Me Maybe",3
"Call it what you","you","Call it what",2
"Call me when you","you","Call me when",7
"Campaign to Prevent Teen","Teen","Campaign to Prevent",2
"Can I get a","a","Can I get",52
"Can I get it","it","Can I get",2
"Can I have him","him","Can I have",2
"Can I just go","go","Can I just",3
"Can anyone tell me","me","Can anyone tell",11
"Can it really be","be","Can it really",2
"Can t believe it","it","Can t believe",25
"Can t get over","over","Can t get",5
"Can t help but","but","Can t help",9
"Can t wait for","for","Can t wait",301
"Can t wait till","till","Can t wait",34
"Can t wait to","to","Can t wait",784
"Can t we just","just","Can t we",5
"Can we all agree","agree","Can we all",3
"Can we talk about","about","Can we talk",4
"Can you please follow","follow","Can you please",17
"Cancer Institute of New","New","Cancer Institute of",5
"Cant wait for the","the","Cant wait for",12
"Cant wait to see","see","Cant wait to",25
"Carroll Shelby has died","died","Carroll Shelby has",2
"Case Western Reserve University","University","Case Western Reserve",32
"Castelveter a spokesman for","for","Castelveter a spokesman",3
"Catholic University of America","America","Catholic University of",3
"Catholic approach to the","the","Catholic approach to",2
"Catholic vote percent to","to","Catholic vote percent",2
"Celebrity Crush Favorite Type","Type","Celebrity Crush Favorite",4
"Center Plaza at noon","noon","Center Plaza at",2
"Center for the Study","Study","Center for the",9
"Center on Family Homelessness","Homelessness","Center on Family",2
"Centers for Disease Control","Control","Centers for Disease",49
"Certain Death Online Tournament","Tournament","Certain Death Online",2
"Chamber and Growth Association","Association","Chamber and Growth",9
"Chamber of Commerce s","s","Chamber of Commerce",5
"Check out all our","our","Check out all",3
"Check out our new","new","Check out our",25
"Check out some of","of","Check out some",10
"Cheers to a great","great","Cheers to a",2
"Chicago Chicago Illinois Incorporated","Incorporated","Chicago Chicago Illinois",21
"Chicago Illinois Incorporated in","in","Chicago Illinois Incorporated",42
"Chief Brenda Leigh Johnson","Johnson","Chief Brenda Leigh",2
"Chief Tim Fitch said","said","Chief Tim Fitch",2
"Child Care Aware said","said","Child Care Aware",2
"Children s Action Alliance","Alliance","Children s Action",3
"Children s Research Hospital","Hospital","Children s Research",3
"Christie spokesman Michael Drewniak","Drewniak","Christie spokesman Michael",15
"Circuit Court of Appeals","Appeals","Circuit Court of",45
"City Council members and","and","City Council members",6
"Class A state title","title","Class A state",3
"Cleveland Columbus Dayton and","and","Cleveland Columbus Dayton",2
"Cleveland Hearing Speech Center","Center","Cleveland Hearing Speech",2
"Cleveland Institute of Art","Art","Cleveland Institute of",11
"Cleveland State University and","and","Cleveland State University",3
"Cleveland s Old Brooklyn","Brooklyn","Cleveland s Old",2
"Click HERE to get","get","Click HERE to",2
"Click here for a","a","Click here for",2
"Cliffs Natural Resources Inc","Inc","Cliffs Natural Resources",2
"Clown among them Plus","Plus","Clown among them",2
"Coast Guard Air Station","Station","Coast Guard Air",2
"Cobb and Cherokee counties","counties","Cobb and Cherokee",3
"College River Forest Illinois","Illinois","College River Forest",4
"Colorado US Attorney John","John","Colorado US Attorney",2
"Columbus Dayton and Cincinnati","Cincinnati","Columbus Dayton and",3
"Come at me bro","bro","Come at me",3
"Come check us out","out","Come check us",23
"Come claim it at","at","Come claim it",3
"Come grab some lunch","lunch","Come grab some",2
"Come in for a","a","Come in for",8
"Come into the B","B","Come into the",2
"Come join us in","in","Come join us",4
"Come on out to","to","Come on out",5
"Come on you can","can","Come on you",3
"Come see us at","at","Come see us",12
"Commissioner Christopher Cerf said","said","Commissioner Christopher Cerf",2
"Condolences to the family","family","Condolences to the",2
"Conference of State Legislatures","Legislatures","Conference of State",7
"Conference semifinals against the","the","Conference semifinals against",2
"Congrats to you too","too","Congrats to you",3
"Congratulations to all the","the","Congratulations to all",9
"Congress in that he","he","Congress in that",2
"Contact us for your","your","Contact us for",5
"Contrary to what many","many","Contrary to what",2
"Cool on a wire","wire","Cool on a",4
"Copeland executive director of","of","Copeland executive director",3
"Corp fell percent to","to","Corp fell percent",2
"Corp up cents at","at","Corp up cents",2
"Council members and other","other","Council members and",2
"Council members said they","they","Council members said",2
"Council on AmericanIslamic Relations","Relations","Council on AmericanIslamic",3
"County Assistant Prosecutor Michael","Michael","County Assistant Prosecutor",2
"County Jail on bond","bond","County Jail on",3
"County Police Chief Tim","Tim","County Police Chief",8
"County Registrar of Voters","Voters","County Registrar of",2
"County Sheriff s Office","Office","County Sheriff s",60
"County Superior Court Judge","Judge","County Superior Court",13
"County Superior Court in","in","County Superior Court",2
"County Superior Court judge","judge","County Superior Court",3
"County officials said they","they","County officials said",4
"Court Judge Bradley Ferencz","Ferencz","Court Judge Bradley",4
"Court Judge Patrick Arre","Arre","Court Judge Patrick",2
"Court of Appeal in","in","Court of Appeal",4
"Court of Appeals the","the","Court of Appeals",3
"Cover and chill for","for","Cover and chill",2
"Cox RLivonia is calling","calling","Cox RLivonia is",2
"Cross and Blue Shield","Shield","Cross and Blue",2
"Crush Favorite Type Of","Of","Crush Favorite Type",4
"Cuomo of New York","York","Cuomo of New",4
"Cuz I don t","t","Cuz I don",2
"D I know I","I","D I know",2
"D Qwell Jackson and","and","D Qwell Jackson",2
"D You re not","not","D You re",2
"DAX index rose percent","percent","DAX index rose",3
"DAY TO ALL THE","THE","DAY TO ALL",8
"DC for a concert","concert","DC for a",15
"DM me for a","a","DM me for",4
"DM me your and","and","DM me your",2
"DM me your number","number","DM me your",8
"DM us for more","more","DM us for",2
"DON T KNOW WHAT","WHAT","DON T KNOW",5
"Da Capo Press softcover","softcover","Da Capo Press",2
"Da war die See","See","Da war die",2
"Daddy and I are","are","Daddy and I",2
"Dakota and South Dakota","Dakota","Dakota and South",3
"Dan Rodricks recent column","column","Dan Rodricks recent",2
"Dana Wolfe Naimark CEO","CEO","Dana Wolfe Naimark",2
"Dance What Do You","You","Dance What Do",4
"Dancing With The Stars","Stars","Dancing With The",13
"Dark Side of the","the","Dark Side of",11
"Dating back to the","the","Dating back to",2
"David Castelveter a spokesman","spokesman","David Castelveter a",3
"Davis said The trick","trick","Davis said The",2
"Day Don t forget","forget","Day Don t",3
"Day How will you","you","Day How will",2
"Day If you re","re","Day If you",7
"Day Two of the","the","Day Two of",2
"De La Rosa who","who","De La Rosa",2
"Dealer Reporter Marcia Pledger","Pledger","Dealer Reporter Marcia",5
"Death Cab for Cutie","Cutie","Death Cab for",5
"Debbie Nichols said Then","Then","Debbie Nichols said",2
"December issue of the","the","December issue of",3
"Democratic Sen Sherrod Brown","Brown","Democratic Sen Sherrod",2
"Democratic Senatorial Campaign Committee","Committee","Democratic Senatorial Campaign",5
"Democratic state senator from","from","Democratic state senator",2
"Democrats in Washington have","have","Democrats in Washington",2
"Dental Floss and most","most","Dental Floss and",3
"Department of Higher Education","Education","Department of Higher",2
"Department of Transportation website","website","Department of Transportation",3
"Department of Water Resources","Resources","Department of Water",3
"Deputy Joan Burton He","He","Deputy Joan Burton",2
"Deputy Richard Boyd Barrett","Barrett","Deputy Richard Boyd",2
"Detroitbased National Socialist Movement","Movement","Detroitbased National Socialist",2
"Diabetic exchanges per serving","serving","Diabetic exchanges per",4
"Dick Clark dead at","at","Dick Clark dead",3
"Did I mention the","the","Did I mention",7
"Did you even know","know","Did you even",3
"Did you get the","the","Did you get",13
"Did you get to","to","Did you get",7
"Did you know that","that","Did you know",141
"Did you see that","that","Did you see",15
"Didn t sleep well","well","Didn t sleep",3
"Diego California Weather F","F","Diego California Weather",2
"Digital Stamps and More","More","Digital Stamps and",2
"Dimora and codefendant Michael","Michael","Dimora and codefendant",4
"Dimora and his friends","friends","Dimora and his",3
"Discover Great New Writers","Writers","Discover Great New",2
"Disease Control and Prevention","Prevention","Disease Control and",41
"District Judge Sara Lioi","Lioi","District Judge Sara",4
"Division of Water Pollution","Pollution","Division of Water",2
"Do I need to","to","Do I need",19
"Do I want a","a","Do I want",5
"Do You Want To","To","Do You Want",4
"Do just once what","what","Do just once",3
"Do not prune old","old","Do not prune",3
"Do not think about","about","Do not think",2
"Do or do not","not","Do or do",4
"Do we have a","a","Do we have",8
"Do we have to","to","Do we have",9
"Do we really need","need","Do we really",13
"Do what you love","love","Do what you",4
"Do you believe in","in","Do you believe",15
"Do you have any","any","Do you have",85
"Do you have the","the","Do you have",8
"Do you have your","your","Do you have",14
"Do you live in","in","Do you live",12
"Do you or anyone","anyone","Do you or",2
"Do you think a","a","Do you think",5
"Do you think the","the","Do you think",24
"Do your best to","to","Do your best",2
"Does anyone else think","think","Does anyone else",9
"Does anyone know anything","anything","Does anyone know",3
"Does anyone know of","of","Does anyone know",13
"Don t Do It","It","Don t Do",5
"Don t be surprised","surprised","Don t be",17
"Don t feel bad","bad","Don t feel",7
"Don t forget the","the","Don t forget",33
"Don t forget there","there","Don t forget",3
"Don t forget to","to","Don t forget",258
"Don t forget we","we","Don t forget",17
"Don t get me","me","Don t get",68
"Don t give up","up","Don t give",25
"Don t go to","to","Don t go",10
"Don t know I","I","Don t know",2
"Don t know if","if","Don t know",23
"Don t let a","a","Don t let",7
"Don t let anyone","anyone","Don t let",15
"Don t like it","it","Don t like",4
"Don t matter what","what","Don t matter",2
"Don t miss these","these","Don t miss",2
"Don t take it","it","Don t take",4
"Don t think I","I","Don t think",15
"Don t think that","that","Don t think",3
"Don t try to","to","Don t try",16
"Don t want to","to","Don t want",34
"Don t you just","just","Don t you",28
"Dont get me wrong","wrong","Dont get me",46
"Dont judge me for","for","Dont judge me",2
"Dont you just love","love","Dont you just",4
"Dots embossing folder and","and","Dots embossing folder",2
"Dow Jones industrial average","average","Dow Jones industrial",68
"Dr G Medical Examiner","Examiner","Dr G Medical",2
"Dresden Pl square feet","feet","Dresden Pl square",2
"Drewniak said in an","an","Drewniak said in",2
"Drunk and she s","s","Drunk and she",2
"Duke CEO of WalMart","WalMart","Duke CEO of",2
"Duke Lacrosse case was","was","Duke Lacrosse case",2
"During the five years","years","During the five",2
"Dylan once referred to","to","Dylan once referred",2
"E Ninth St Cleveland","Cleveland","E Ninth St",3
"EBOOK Award Winning novel","novel","EBOOK Award Winning",15
"END except for family","family","END except for",2
"EVERY SINGLE ONE OF","OF","EVERY SINGLE ONE",11
"Each week will stay","stay","Each week will",2
"Earlier in the day","day","Earlier in the",18
"Earlier this month the","the","Earlier this month",16
"Eastern Conference semifinals against","against","Eastern Conference semifinals",2
"Eats for Justice Gala","Gala","Eats for Justice",3
"Editor s note An","An","Editor s note",3
"Education Bachelor s degree","degree","Education Bachelor s",4
"Education Commissioner Christopher Cerf","Cerf","Education Commissioner Christopher",5
"Education Commissioner Rochelle Hendricks","Hendricks","Education Commissioner Rochelle",5
"Edwards aide Andrew Young","Young","Edwards aide Andrew",2
"Either way it s","s","Either way it",9
"El Camino Real and","and","El Camino Real",6
"Email for more info","info","Email for more",7
"Embassy where he had","had","Embassy where he",2
"Employers for Immigration Reform","Reform","Employers for Immigration",4
"Ending the night with","with","Ending the night",2
"English as a second","second","English as a",8
"European Patent Office EPO","EPO","European Patent Office",3
"Evaluation of Systane Balance","Balance","Evaluation of Systane",2
"Even if he didn","didn","Even if he",2
"Even if he was","was","Even if he",3
"Even if that means","means","Even if that",2
"Even if there is","is","Even if there",2
"Even though I am","am","Even though I",6
"Even though I have","have","Even though I",13
"Even though he had","had","Even though he",2
"Even though it is","is","Even though it",5
"Even though most of","of","Even though most",4
"Even when I m","m","Even when I",8
"Every Lady Vol player","player","Every Lady Vol",2
"Every day is a","a","Every day is",4
"Every last one of","of","Every last one",2
"Every now and then","then","Every now and",18
"Everyone have a safe","safe","Everyone have a",2
"Everyone s going to","to","Everyone s going",2
"Everything is falling into","into","Everything is falling",2
"Excited about starting new","new","Excited about starting",2
"Excited to be a","a","Excited to be",4
"Excited to be at","at","Excited to be",9
"Executive Robert Ficano to","to","Executive Robert Ficano",2
"Express offers great prices","prices","Express offers great",5
"Express offers great savings","savings","Express offers great",6
"Extremely Loud Incredibly Close","Close","Extremely Loud Incredibly",8
"F A FEW CLOUDS","CLOUDS","F A FEW",5
"FAN IN CHILE Follow","Follow","FAN IN CHILE",6
"FEW CLOUDS F A","A","FEW CLOUDS F",2
"FOLLOW ME WOULD MEAN","MEAN","FOLLOW ME WOULD",6
"FOLLOW YOUR FIRST OFFICIAL","OFFICIAL","FOLLOW YOUR FIRST",3
"FREE EBOOK Award Winning","Winning","FREE EBOOK Award",15
"Fa La La La","La","Fa La La",2
"Facebook and Twitter and","and","Facebook and Twitter",2
"Facebook and other social","social","Facebook and other",6
"Faculty Workshop The School","School","Faculty Workshop The",2
"Fairview Park and Westlake","Westlake","Fairview Park and",2
"Fall and Winter are","are","Fall and Winter",2
"Falling in love with","with","Falling in love",6
"Fashion History Museum at","at","Fashion History Museum",2
"Favorite Type Of Music","Music","Favorite Type Of",6
"Favorite subject Science I","I","Favorite subject Science",2
"Fd at See also","also","Fd at See",2
"Feast of Unleavened Bread","Bread","Feast of Unleavened",2
"Feb and runs through","through","Feb and runs",2
"Federal Emergency Management Agency","Agency","Federal Emergency Management",21
"Feel free to join","join","Feel free to",3
"Feel free to use","use","Feel free to",5
"Feeling like I m","m","Feeling like I",3
"Fenway dating back to","to","Fenway dating back",2
"Fetish Digital Stamps and","and","Fetish Digital Stamps",2
"Fiat brand in North","North","Fiat brand in",2
"Ficano to immediately resign","resign","Ficano to immediately",2
"Fifty Shades of Gray","Gray","Fifty Shades of",2
"Fight the good fight","fight","Fight the good",4
"Figure out how much","much","Figure out how",3
"First Lady Betty Ford","Ford","First Lady Betty",2
"First of all I","I","First of all",25
"First of all you","you","First of all",7
"Floss Holders and most","most","Floss Holders and",3
"Floss and most oral","oral","Floss and most",3
"Flowers are by Prima","Prima","Flowers are by",2
"Folloow Ha She That","That","Folloow Ha She",3
"Follow Me Pleasee oh","oh","Follow Me Pleasee",6
"Follow me Follow me","me","Follow me Follow",2
"Follow us on twitter","twitter","Follow us on",3
"Following are excerpts from","from","Following are excerpts",4
"For The Year Of","Of","For The Year",2
"For a moment I","I","For a moment",3
"For example if the","the","For example if",4
"For me it s","s","For me it",32
"For me that means","means","For me that",2
"For more information please","please","For more information",13
"For more information visit","visit","For more information",23
"For more than four","four","For more than",2
